"No.","Host","Ip","dst","Protocol"
"17","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"23","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"29","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"31","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"33","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"35","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"37","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"39","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"41","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"43","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"45","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"47","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"49","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"51","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"73","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"75","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"77","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"79","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"81","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"83","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"85","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"101","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"105","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"107","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"109","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"111","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"113","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"125","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"129","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"133","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"135","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"137","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"139","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"141","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"153","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"155","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"161","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"163","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"169","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"173","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"175","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"177","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"179","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"191","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
"193","profile.img.afreecatv.com","218.38.31.98","sungwonryu1.local","TCP"
