"No.","Host","Ip","dst","Protocol"
"7","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"15","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"17","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"19","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"21","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"23","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"25","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"27","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"29","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"31","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"33","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"35","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"37","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"39","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"77","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"79","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"81","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"83","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"85","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"87","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"89","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"91","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"93","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"95","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"97","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"99","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"129","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"131","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"133","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"139","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"145","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"147","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"149","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"151","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"153","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"155","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"157","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"171","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"179","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"181","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"183","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"185","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"187","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"189","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"203","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"205","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"213","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"219","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"222","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"225","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"227","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"229","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"237","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","HTTP"
"245","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"247","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
"249","liveimg.afreecatv.com","1.234.43.182","sungwonryu1.local","TCP"
