"No.","Host","Ip","dst","Protocol"
"1","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"3","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"5","218.38.31.220","218.38.31.220","sungwonryu1.local","TCP"
"7","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"9","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"11","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"23","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"27","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"29","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"31","218.38.31.220","218.38.31.220","sungwonryu1.local","TCP"
"33","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"35","110.10.76.21","110.10.76.21","sungwonryu1.local","TCP"
"47","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"51","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"55","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"57","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"63","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"65","218.38.31.220","218.38.31.220","sungwonryu1.local","TCP"
"67","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"75","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"79","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"81","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"87","218.38.31.220","218.38.31.220","sungwonryu1.local","TCP"
"89","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"95","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"99","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"101","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"105","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"111","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"115","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"119","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"123","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"125","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"131","211.110.215.221","211.110.215.221","sungwonryu1.local","TCP"
"133","110.10.76.21","110.10.76.21","sungwonryu1.local","TCP"
"135","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"143","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"145","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"151","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"155","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"157","211.110.215.221","211.110.215.221","sungwonryu1.local","TCP"
"163","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"165","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"171","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"173","211.110.215.221","211.110.215.221","sungwonryu1.local","TCP"
"175","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"177","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"179","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"181","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"183","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"185","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"187","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"189","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"191","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"193","59.18.31.147","59.18.31.147","sungwonryu1.local","TCP"
"195","218.38.31.220","218.38.31.220","sungwonryu1.local","TCP"
"197","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"199","110.10.76.21","110.10.76.21","sungwonryu1.local","TCP"
"201","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"203","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"205","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"247","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"249","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"255","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"257","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"259","211.110.215.221","211.110.215.221","sungwonryu1.local","TCP"
"261","218.38.31.220","218.38.31.220","sungwonryu1.local","TCP"
"263","218.38.31.220","218.38.31.220","sungwonryu1.local","TCP"
"265","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"267","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"277","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"279","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"281","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"297","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"299","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"305","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"309","218.38.31.220","218.38.31.220","sungwonryu1.local","TCP"
"311","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"317","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"319","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"321","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"323","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"329","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"335","110.10.76.21","110.10.76.21","sungwonryu1.local","TCP"
"337","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"339","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"341","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"351","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"355","110.10.76.230","110.10.76.230","sungwonryu1.local","TCP"
"357","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"359","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"361","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"371","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"373","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"375","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"377","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"405","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"407","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"409","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"419","110.10.76.21","110.10.76.21","sungwonryu1.local","TCP"
"423","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"425","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"427","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"429","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"431","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"433","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"435","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"437","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"439","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"441","211.110.215.221","211.110.215.221","sungwonryu1.local","TCP"
"461","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"463","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"465","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"467","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"469","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
"471","1.255.48.138","1.255.48.138","sungwonryu1.local","TCP"
