"No.","Host","Ip","dst","Protocol"
"9","scketc.afreeca.com","58.229.158.120","sungwonryu1.local","TCP"
"17","scketc.afreeca.com","58.229.158.120","sungwonryu1.local","TCP"
"19","scketc.afreeca.com","58.229.158.120","sungwonryu1.local","TCP"
"21","scketc.afreeca.com","58.229.158.120","sungwonryu1.local","HTTP"
"29","203.217.239.37","203.217.239.37","sungwonryu1.local","TCP"
"31","203.217.239.37","203.217.239.37","sungwonryu1.local","TCP"
"53","api.m.afreecatv.com","58.229.212.250","sungwonryu1.local","TCP"
"59","api.m.afreecatv.com","58.229.212.250","sungwonryu1.local","TCP"
"63","api.m.afreecatv.com","58.229.212.250","sungwonryu1.local","TCP"
"65","api.m.afreecatv.com","58.229.212.250","sungwonryu1.local","HTTP"
"67","api.m.afreecatv.com","58.229.212.250","sungwonryu1.local","TCP"
"73","api.m.afreecatv.com","58.229.212.250","sungwonryu1.local","TCP"
"83","dashboard.afreecatv.com","118.217.182.21","sungwonryu1.local","TCP"
"89","dashboard.afreecatv.com","118.217.182.21","sungwonryu1.local","TCP"
"91","dashboard.afreecatv.com","118.217.182.21","sungwonryu1.local","HTTP"
"93","dashboard.afreecatv.com","118.217.182.21","sungwonryu1.local","TCP"
"101","dashboard.afreecatv.com","118.217.182.21","sungwonryu1.local","TCP"
"107","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"111","dashboard.afreecatv.com","118.217.182.21","sungwonryu1.local","TCP"
"113","dashboard.afreecatv.com","118.217.182.21","sungwonryu1.local","TCP"
"127","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"135","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"139","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"141","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"147","api.m.afreecatv.com","58.229.212.250","sungwonryu1.local","TCP"
"155","api.m.afreecatv.com","58.229.212.250","sungwonryu1.local","TCP"
"157","218.38.31.98","218.38.31.98","sungwonryu1.local","TCP"
"159","api.m.afreecatv.com","58.229.212.250","sungwonryu1.local","HTTP"
"161","api.m.afreecatv.com","58.229.212.250","sungwonryu1.local","TCP"
"171","api.m.afreecatv.com","58.229.212.250","sungwonryu1.local","TCP"
"173","218.38.31.98","218.38.31.98","sungwonryu1.local","TCP"
"175","218.38.31.98","218.38.31.98","sungwonryu1.local","HTTP"
"187","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"189","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"211","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"213","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"215","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"217","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"243","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"245","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"247","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"249","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"251","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"253","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"255","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"268","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"270","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"272","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"274","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"285","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"289","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"293","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"295","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"302","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"304","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"306","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"308","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"321","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"323","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"325","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"327","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"329","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"343","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"345","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"347","110.10.76.20","110.10.76.20","sungwonryu1.local","TCP"
"367","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"369","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"371","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"373","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"375","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"377","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"379","api.m.afreecatv.com","58.229.212.250","sungwonryu1.local","TCP"
"381","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"383","dashboard.afreecatv.com","118.217.182.21","sungwonryu1.local","TCP"
"412","dashboard.afreecatv.com","118.217.182.21","sungwonryu1.local","TCP"
"418","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"420","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"422","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"424","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"426","dashboard.afreecatv.com","118.217.182.21","sungwonryu1.local","TCP"
"428","dashboard.afreecatv.com","118.217.182.21","sungwonryu1.local","TCP"
"430","dashboard.afreecatv.com","118.217.182.21","sungwonryu1.local","HTTP"
"432","dashboard.afreecatv.com","118.217.182.21","sungwonryu1.local","TCP"
"453","dashboard.afreecatv.com","118.217.182.21","sungwonryu1.local","TCP"
"455","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"457","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"459","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"461","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"463","dashboard.afreecatv.com","118.217.182.21","sungwonryu1.local","TCP"
"478","dashboard.afreecatv.com","118.217.182.21","sungwonryu1.local","HTTP"
"480","dashboard.afreecatv.com","118.217.182.21","sungwonryu1.local","TCP"
"482","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"484","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"486","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"488","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"514","dashboard.afreecatv.com","118.217.182.21","sungwonryu1.local","HTTP"
"518","api.m.afreecatv.com","58.229.212.250","sungwonryu1.local","TCP"
"520","dashboard.afreecatv.com","118.217.182.21","sungwonryu1.local","TCP"
"524","api.m.afreecatv.com","58.229.212.250","sungwonryu1.local","HTTP"
"526","api.m.afreecatv.com","58.229.212.250","sungwonryu1.local","TCP"
"528","110.10.76.20","110.10.76.20","sungwonryu1.local","TCP"
"530","collector1.afreecatv.com","58.229.158.89","sungwonryu1.local","TCP"
"532","dashboard.afreecatv.com","118.217.182.21","sungwonryu1.local","TCP"
"534","110.10.76.20","110.10.76.20","sungwonryu1.local","TCP"
"546","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"561","dashboard.afreecatv.com","118.217.182.21","sungwonryu1.local","HTTP"
"563","dashboard.afreecatv.com","118.217.182.21","sungwonryu1.local","TCP"
"565","110.10.76.20","110.10.76.20","sungwonryu1.local","TCP"
"569","110.10.76.20","110.10.76.20","sungwonryu1.local","TCP"
"571","api.m.afreecatv.com","58.229.212.250","sungwonryu1.local","TCP"
"581","collector1.afreecatv.com","58.229.158.89","sungwonryu1.local","TCP"
"583","collector1.afreecatv.com","58.229.158.89","sungwonryu1.local","TCP"
"585","218.38.31.98","218.38.31.98","sungwonryu1.local","TCP"
"589","110.10.76.20","110.10.76.20","sungwonryu1.local","TCP"
"591","110.10.76.20","110.10.76.20","sungwonryu1.local","TCP"
"593","dashboard.afreecatv.com","118.217.182.21","sungwonryu1.local","TCP"
"599","110.10.76.20","110.10.76.20","sungwonryu1.local","TCP"
"603","218.38.31.98","218.38.31.98","sungwonryu1.local","HTTP"
"607","rtmpmanager-mobileapp.afreeca.tv","110.10.76.147","sungwonryu1.local","TCP"
"617","collector1.afreecatv.com","58.229.158.89","sungwonryu1.local","HTTP"
