"No.","Host","Ip","dst","Protocol"
"944","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"960","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"962","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"964","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"966","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"968","pa.afreecatv.com","114.207.115.130","sungwonryu1.local","TCP"
"970","www.afreecatv.com","218.38.31.220","sungwonryu1.local","TCP"
"988","www.afreecatv.com","218.38.31.220","sungwonryu1.local","TCP"
"990","www.afreecatv.com","218.38.31.220","sungwonryu1.local","HTTP"
"994","pa.afreecatv.com","114.207.115.130","sungwonryu1.local","TCP"
"996","pa.afreecatv.com","114.207.115.130","sungwonryu1.local","TLSv1"
"998","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"1000","pa.afreecatv.com","114.207.115.130","sungwonryu1.local","TCP"
"1002","pa.afreecatv.com","114.207.115.130","sungwonryu1.local","TLSv1"
"1014","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"1018","pa.afreecatv.com","114.207.115.130","sungwonryu1.local","TLSv1"
"1022","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"1024","pa.afreecatv.com","114.207.115.130","sungwonryu1.local","TLSv1"
"1026","pa.afreecatv.com","114.207.115.130","sungwonryu1.local","TCP"
"1028","pa.afreecatv.com","114.207.115.130","sungwonryu1.local","TCP"
"1030","pa.afreecatv.com","114.207.115.130","sungwonryu1.local","TLSv1"
"1036","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"1054","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"1056","api.m.afreecatv.com","58.229.212.249","sungwonryu1.local","TCP"
"1062","pa.afreecatv.com","114.207.115.130","sungwonryu1.local","TCP"
"1064","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"1070","api.m.afreecatv.com","58.229.212.249","sungwonryu1.local","TCP"
"1072","pa.afreecatv.com","114.207.115.130","sungwonryu1.local","TCP"
"1074","api.m.afreecatv.com","58.229.212.249","sungwonryu1.local","HTTP"
"1076","api.m.afreecatv.com","58.229.212.249","sungwonryu1.local","TCP"
"1078","pa.afreecatv.com","114.207.115.130","sungwonryu1.local","TCP"
"1080","pa.afreecatv.com","114.207.115.130","sungwonryu1.local","TLSv1.2"
"1096","api.m.afreecatv.com","58.229.212.249","sungwonryu1.local","TCP"
"1098","api.m.afreecatv.com","58.229.212.249","sungwonryu1.local","TCP"
"1100","pa.afreecatv.com","114.207.115.130","sungwonryu1.local","TLSv1.2"
"1102","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"1120","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"1122","pa.afreecatv.com","114.207.115.130","sungwonryu1.local","TLSv1.2"
"1124","api.m.afreecatv.com","58.229.212.249","sungwonryu1.local","TCP"
"1130","pa.afreecatv.com","114.207.115.130","sungwonryu1.local","TCP"
"1132","api.m.afreecatv.com","58.229.212.249","sungwonryu1.local","TCP"
"1134","api.m.afreecatv.com","58.229.212.249","sungwonryu1.local","HTTP"
"1136","api.m.afreecatv.com","58.229.212.249","sungwonryu1.local","TCP"
"1138","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"1140","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"1142","pa.afreecatv.com","114.207.115.130","sungwonryu1.local","TCP"
"1144","pa.afreecatv.com","114.207.115.130","sungwonryu1.local","TLSv1.2"
"1154","api.m.afreecatv.com","58.229.212.249","sungwonryu1.local","TCP"
"1156","api.m.afreecatv.com","58.229.212.249","sungwonryu1.local","TCP"
"1162","api.m.afreecatv.com","58.229.212.249","sungwonryu1.local","TCP"
"1164","api.m.afreecatv.com","58.229.212.249","sungwonryu1.local","HTTP"
"1166","api.m.afreecatv.com","58.229.212.249","sungwonryu1.local","TCP"
"1170","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"1178","api.m.afreecatv.com","58.229.212.249","sungwonryu1.local","TCP"
"1193","api.m.afreecatv.com","58.229.212.249","sungwonryu1.local","TCP"
"1204","collector1.afreecatv.com","58.229.158.88","sungwonryu1.local","TCP"
"1219","api.m.afreecatv.com","58.229.212.249","sungwonryu1.local","TCP"
"1221","cache.m.afreeca.com","101.79.254.131","sungwonryu1.local","TCP"
"1223","cache.m.afreeca.com","101.79.254.131","sungwonryu1.local","TCP"
