"No.","Host","Ip","dst","Protocol"
"1","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TLSv1.2"
"3","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TLSv1.2"
"5","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"9","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"11","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"13","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"15","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"17","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"19","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"21","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"23","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"25","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"27","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"33","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TLSv1.2"
"35","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"37","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"39","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"41","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"43","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"45","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"47","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"49","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"51","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"59","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"61","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"63","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TLSv1.2"
"67","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"69","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"71","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"73","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"75","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"81","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"85","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"87","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"89","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"91","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"93","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"105","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"107","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"109","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"111","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"121","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"123","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"129","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"133","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"137","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"139","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"141","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"143","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TLSv1.2"
"153","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"157","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"161","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"163","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"165","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"173","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"177","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"179","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"181","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
"183","auth-video-flo.dlacc.skcdn.com","222.239.240.107","sungwonryu1","TCP"
