"No.","Host","Ip","dst","Protocol"
"1","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"3","ipv4_1.cc0.c223.sjc002.ix.nflxvideo.net","45.57.59.140","sungwonryu1.local","TLSv1.2"
"5","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"7","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"9","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"11","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"13","ipv4_1.cc0.c223.sjc002.ix.nflxvideo.net","45.57.59.140","sungwonryu1.local","TCP"
"15","ipv4_1.cc0.c223.sjc002.ix.nflxvideo.net","45.57.59.140","sungwonryu1.local","TCP"
"17","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"18","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"20","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"22","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"24","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"26","ipv4_1.cc0.c223.sjc002.ix.nflxvideo.net","45.57.59.140","sungwonryu1.local","TCP"
"28","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"30","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"32","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"34","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"36","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"37","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"49","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"51","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"53","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"55","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"57","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"59","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"61","ipv4_1.cc0.c223.sjc002.ix.nflxvideo.net","45.57.59.140","sungwonryu1.local","TLSv1.2"
"63","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"67","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"69","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"71","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"73","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"75","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"77","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"79","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"81","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"83","ipv4_1.cc0.c223.sjc002.ix.nflxvideo.net","45.57.59.140","sungwonryu1.local","TLSv1.2"
"85","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"87","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"91","ipv4_1.cc0.c223.sjc002.ix.nflxvideo.net","45.57.59.140","sungwonryu1.local","TCP"
"95","ipv4_1.cc0.c223.sjc002.ix.nflxvideo.net","45.57.59.140","sungwonryu1.local","TLSv1.2"
"99","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"101","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"103","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"105","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"107","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"109","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"111","ipv4_1.cc0.c223.sjc002.ix.nflxvideo.net","45.57.59.140","sungwonryu1.local","TCP"
"115","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"117","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"119","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"121","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"122","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"124","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"126","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"128","ipv4_1.cc0.c223.sjc002.ix.nflxvideo.net","45.57.59.140","sungwonryu1.local","TCP"
"130","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"134","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"135","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"137","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"139","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"141","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"143","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"145","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"147","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"149","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"151","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"153","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"154","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"156","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"158","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"160","ipv4_1.cc0.c223.sjc002.ix.nflxvideo.net","45.57.59.140","sungwonryu1.local","TCP"
"162","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"164","ipv4_1.cc0.c223.sjc002.ix.nflxvideo.net","45.57.59.140","sungwonryu1.local","TCP"
"166","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"168","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"170","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"172","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"184","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"186","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"188","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"190","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"192","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"194","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"196","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"198","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"200","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","SSLv2"
"202","ipv4_1.cc0.c223.sjc002.ix.nflxvideo.net","45.57.59.140","sungwonryu1.local","TCP"
"204","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"206","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"210","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"216","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"218","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"220","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"222","ipv4_1.cc0.c223.sjc002.ix.nflxvideo.net","45.57.59.140","sungwonryu1.local","TCP"
"224","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"225","ipv4_1.cc0.c223.sjc002.ix.nflxvideo.net","45.57.59.140","sungwonryu1.local","TLSv1.2"
"232","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"233","ipv4_1.cc0.c213.sjc002.ix.nflxvideo.net","45.57.59.130","sungwonryu1.local","SSL"
"238","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"240","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"242","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"244","ipv4_1.cc0.c223.sjc002.ix.nflxvideo.net","45.57.59.140","sungwonryu1.local","TLSv1.2"
"248","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"250","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"252","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"254","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"256","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"258","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"260","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","SSLv2"
"262","ipv4_1.cc0.c223.sjc002.ix.nflxvideo.net","45.57.59.140","sungwonryu1.local","TCP"
"264","ipv4_1.cc0.c223.sjc002.ix.nflxvideo.net","45.57.59.140","sungwonryu1.local","TCP"
"274","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"276","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"278","ipv4_1.cc0.c223.sjc002.ix.nflxvideo.net","45.57.59.140","sungwonryu1.local","TCP"
"280","ipv4_1.cc0.c223.sjc002.ix.nflxvideo.net","45.57.59.140","sungwonryu1.local","TCP"
"286","ipv4_1.cc0.c213.sjc002.ix.nflxvideo.net","45.57.59.130","sungwonryu1.local","TCP"
"288","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"289","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"293","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"295","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
"299","aqualea.canonical.com","91.189.88.178","sungwonryu1.local","TCP"
