"No.","Host","Ip","dst","Protocol"
"386","sessions.bugsnag.com","35.190.88.7","sungwonryu1.local","TCP"
"392","sessions.bugsnag.com","35.190.88.7","sungwonryu1.local","TCP"
"394","sessions.bugsnag.com","35.190.88.7","sungwonryu1.local","TLSv1.2"
"396","sessions.bugsnag.com","35.190.88.7","sungwonryu1.local","TCP"
"398","sessions.bugsnag.com","35.190.88.7","sungwonryu1.local","TCP"
"400","sessions.bugsnag.com","35.190.88.7","sungwonryu1.local","TLSv1.2"
"416","sessions.bugsnag.com","35.190.88.7","sungwonryu1.local","TLSv1.2"
"428","45.57.41.1","45.57.41.1","sungwonryu1.local","TCP"
"436","sessions.bugsnag.com","35.190.88.7","sungwonryu1.local","TCP"
"438","sessions.bugsnag.com","35.190.88.7","sungwonryu1.local","TLSv1.2"
"442","45.57.41.1","45.57.41.1","sungwonryu1.local","TLSv1.3"
"444","45.57.41.1","45.57.41.1","sungwonryu1.local","TCP"
"446","45.57.41.1","45.57.41.1","sungwonryu1.local","TLSv1.3"
"448","45.57.41.1","45.57.41.1","sungwonryu1.local","TCP"
"450","sessions.bugsnag.com","35.190.88.7","sungwonryu1.local","TCP"
"492","45.57.41.1","45.57.41.1","sungwonryu1.local","TCP"
"498","45.57.41.1","45.57.41.1","sungwonryu1.local","TCP"
"500","45.57.41.1","45.57.41.1","sungwonryu1.local","TCP"
"508","45.57.41.1","45.57.41.1","sungwonryu1.local","TCP"
"510","45.57.41.1","45.57.41.1","sungwonryu1.local","TLSv1.3"
"512","45.57.41.1","45.57.41.1","sungwonryu1.local","TCP"
"514","45.57.41.1","45.57.41.1","sungwonryu1.local","TLSv1.3"
"516","45.57.41.1","45.57.41.1","sungwonryu1.local","TCP"
"518","45.57.41.1","45.57.41.1","sungwonryu1.local","TCP"
"520","45.57.41.1","45.57.41.1","sungwonryu1.local","TLSv1.3"
"522","45.57.41.1","45.57.41.1","sungwonryu1.local","TLSv1.3"
"524","45.57.41.1","45.57.41.1","sungwonryu1.local","TCP"
"553","prod.cloud.us-west-2.prodaa.netflix.com","52.89.124.203","sungwonryu1.local","TCP"
"555","45.57.41.1","45.57.41.1","sungwonryu1.local","TLSv1.3"
"563","45.57.41.1","45.57.41.1","sungwonryu1.local","TLSv1.3"
"573","45.57.41.1","45.57.41.1","sungwonryu1.local","TCP"
"575","45.57.41.1","45.57.41.1","sungwonryu1.local","TLSv1.3"
"577","45.57.41.1","45.57.41.1","sungwonryu1.local","TCP"
"579","45.57.41.1","45.57.41.1","sungwonryu1.local","TLSv1.3"
"583","45.57.41.1","45.57.41.1","sungwonryu1.local","TLSv1.3"
"585","45.57.41.1","45.57.41.1","sungwonryu1.local","TCP"
"587","45.57.41.1","45.57.41.1","sungwonryu1.local","TLSv1.3"
"605","45.57.41.1","45.57.41.1","sungwonryu1.local","TCP"
"607","45.57.41.1","45.57.41.1","sungwonryu1.local","TCP"
"619","45.57.41.1","45.57.41.1","sungwonryu1.local","TCP"
"621","45.57.41.1","45.57.41.1","sungwonryu1.local","TLSv1.3"
"625","45.57.41.1","45.57.41.1","sungwonryu1.local","TLSv1.3"
"627","45.57.41.1","45.57.41.1","sungwonryu1.local","TLSv1.3"
"629","45.57.41.1","45.57.41.1","sungwonryu1.local","TCP"
"631","45.57.41.1","45.57.41.1","sungwonryu1.local","TLSv1.3"
"641","45.57.41.1","45.57.41.1","sungwonryu1.local","TCP"
"643","45.57.41.1","45.57.41.1","sungwonryu1.local","TLSv1.3"
"645","45.57.41.1","45.57.41.1","sungwonryu1.local","TCP"
"647","45.57.41.1","45.57.41.1","sungwonryu1.local","TLSv1.3"
"649","prod.cloud.us-west-2.prodaa.netflix.com","52.89.124.203","sungwonryu1.local","TCP"
"669","prod.cloud.us-west-2.prodaa.netflix.com","52.89.124.203","sungwonryu1.local","TCP"
"671","prod.cloud.us-west-2.prodaa.netflix.com","52.89.124.203","sungwonryu1.local","TLSv1.3"
"673","prod.cloud.us-west-2.prodaa.netflix.com","52.89.124.203","sungwonryu1.local","TCP"
"675","prod.cloud.us-west-2.prodaa.netflix.com","52.89.124.203","sungwonryu1.local","TLSv1.3"
"677","45.57.41.1","45.57.41.1","sungwonryu1.local","TCP"
"687","45.57.41.1","45.57.41.1","sungwonryu1.local","TCP"
"689","45.57.41.1","45.57.41.1","sungwonryu1.local","TLSv1.3"
"698","45.57.41.1","45.57.41.1","sungwonryu1.local","TLSv1.3"
