"No.","Host","Ip","dst","Protocol"
"41","223.39.118.176","223.39.118.176","sungwonryu1","TCP"
"47","223.39.118.176","223.39.118.176","sungwonryu1","TCP"
"49","223.39.118.176","223.39.118.176","sungwonryu1","TCP"
"51","223.39.118.176","223.39.118.176","sungwonryu1","TLSv1.2"
"53","223.39.118.176","223.39.118.176","sungwonryu1","TCP"
"55","223.39.118.176","223.39.118.176","sungwonryu1","TCP"
"57","223.39.118.176","223.39.118.176","sungwonryu1","TCP"
"59","223.39.118.176","223.39.118.176","sungwonryu1","TLSv1.2"
"65","223.39.118.176","223.39.118.176","sungwonryu1","TCP"
"99","223.39.118.176","223.39.118.176","sungwonryu1","TLSv1.2"
"107","elb-p-gld-dls-an2-75892243.ap-northeast-2.elb.amazonaws.com","52.78.210.155","sungwonryu1","TCP"
"109","elb-p-gld-dls-an2-75892243.ap-northeast-2.elb.amazonaws.com","52.78.210.155","sungwonryu1","TCP"
"119","223.39.118.176","223.39.118.176","sungwonryu1","TCP"
"121","223.39.118.176","223.39.118.176","sungwonryu1","TCP"
"123","223.39.118.176","223.39.118.176","sungwonryu1","TLSv1.2"
"131","elb-p-gld-dls-an2-75892243.ap-northeast-2.elb.amazonaws.com","52.78.210.155","sungwonryu1","TCP"
"133","elb-p-gld-dls-an2-75892243.ap-northeast-2.elb.amazonaws.com","52.78.210.155","sungwonryu1","TCP"
"135","elb-p-gld-dls-an2-75892243.ap-northeast-2.elb.amazonaws.com","52.78.210.155","sungwonryu1","TLSv1.2"
"143","elb-p-gld-dls-an2-75892243.ap-northeast-2.elb.amazonaws.com","52.78.210.155","sungwonryu1","TCP"
"145","elb-p-gld-dls-an2-75892243.ap-northeast-2.elb.amazonaws.com","52.78.210.155","sungwonryu1","TCP"
"147","elb-p-gld-dls-an2-75892243.ap-northeast-2.elb.amazonaws.com","52.78.210.155","sungwonryu1","TCP"
"149","elb-p-gld-dls-an2-75892243.ap-northeast-2.elb.amazonaws.com","52.78.210.155","sungwonryu1","TLSv1.2"
"151","elb-p-gld-dls-an2-75892243.ap-northeast-2.elb.amazonaws.com","52.78.210.155","sungwonryu1","TCP"
"153","elb-p-gld-dls-an2-75892243.ap-northeast-2.elb.amazonaws.com","52.78.210.155","sungwonryu1","TCP"
"155","elb-p-gld-dls-an2-75892243.ap-northeast-2.elb.amazonaws.com","52.78.210.155","sungwonryu1","TCP"
"163","elb-p-gld-dls-an2-75892243.ap-northeast-2.elb.amazonaws.com","52.78.210.155","sungwonryu1","TCP"
"165","elb-p-gld-dls-an2-75892243.ap-northeast-2.elb.amazonaws.com","52.78.210.155","sungwonryu1","TLSv1.2"
"167","elb-p-gld-dls-an2-75892243.ap-northeast-2.elb.amazonaws.com","52.78.210.155","sungwonryu1","TCP"
"169","elb-p-gld-dls-an2-75892243.ap-northeast-2.elb.amazonaws.com","52.78.210.155","sungwonryu1","TLSv1.2"
"191","223.39.118.176","223.39.118.176","sungwonryu1","TCP"
"193","223.39.118.176","223.39.118.176","sungwonryu1","TLSv1.2"
"211","elb-p-gld-dls-an2-75892243.ap-northeast-2.elb.amazonaws.com","52.78.210.155","sungwonryu1","TLSv1.2"
"213","elb-p-gld-dls-an2-75892243.ap-northeast-2.elb.amazonaws.com","52.78.210.155","sungwonryu1","TLSv1.2"
"227","elb-p-gld-dls-an2-75892243.ap-northeast-2.elb.amazonaws.com","52.78.210.155","sungwonryu1","TLSv1.2"
"229","elb-p-gld-dls-an2-75892243.ap-northeast-2.elb.amazonaws.com","52.78.210.155","sungwonryu1","TLSv1.2"
"231","223.39.118.176","223.39.118.176","sungwonryu1","TLSv1.2"
"264","223.39.118.176","223.39.118.176","sungwonryu1","TLSv1.2"
"275","auth.tidcgl.skt-id.co.kr","223.62.245.51","sungwonryu1","TCP"
"281","auth.tidcgl.skt-id.co.kr","223.62.245.51","sungwonryu1","TLSv1.2"
"283","auth.tidcgl.skt-id.co.kr","223.62.245.51","sungwonryu1","TCP"
"285","auth.tidcgl.skt-id.co.kr","223.62.245.51","sungwonryu1","TCP"
"293","auth.tidcgl.skt-id.co.kr","223.62.245.51","sungwonryu1","TCP"
"295","auth.tidcgl.skt-id.co.kr","223.62.245.51","sungwonryu1","TLSv1.2"
"305","auth.tidcgl.skt-id.co.kr","223.62.245.51","sungwonryu1","TCP"
"307","auth.tidcgl.skt-id.co.kr","223.62.245.51","sungwonryu1","TLSv1.2"
"309","auth.tidcgl.skt-id.co.kr","223.62.245.51","sungwonryu1","TLSv1.2"
"317","auth.tidcgl.skt-id.co.kr","223.62.245.51","sungwonryu1","TCP"
"319","auth.tidcgl.skt-id.co.kr","223.62.245.51","sungwonryu1","TCP"
"323","auth.tidcgl.skt-id.co.kr","223.62.245.51","sungwonryu1","TCP"
"325","auth.tidcgl.skt-id.co.kr","223.62.245.51","sungwonryu1","TCP"
"335","auth.tidcgl.skt-id.co.kr","223.62.245.51","sungwonryu1","TCP"
"348","auth.tidcgl.skt-id.co.kr","223.62.245.51","sungwonryu1","TCP"
"354","auth.tidcgl.skt-id.co.kr","223.62.245.51","sungwonryu1","TLSv1.2"
"356","auth.tidcgl.skt-id.co.kr","223.62.245.51","sungwonryu1","TCP"
"358","auth.tidcgl.skt-id.co.kr","223.62.245.51","sungwonryu1","TCP"
"366","auth.tidcgl.skt-id.co.kr","223.62.245.51","sungwonryu1","TCP"
"368","auth.tidcgl.skt-id.co.kr","223.62.245.51","sungwonryu1","TLSv1.2"
"381","auth.tidcgl.skt-id.co.kr","223.62.245.51","sungwonryu1","TCP"
"383","auth.tidcgl.skt-id.co.kr","223.62.245.51","sungwonryu1","TLSv1.2"
"385","auth.tidcgl.skt-id.co.kr","223.62.245.51","sungwonryu1","TLSv1.2"
"393","auth.tidcgl.skt-id.co.kr","223.62.245.51","sungwonryu1","TCP"
