"No.","Host","Ip","dst","Protocol"
"26","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"32","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"34","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"36","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"38","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"40","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"48","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"57","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"59","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"63","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"71","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"86","211.110.12.146","211.110.12.146","sungwonryu1","TCP"
"92","211.110.12.146","211.110.12.146","sungwonryu1","TCP"
"96","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"98","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"108","175.126.178.116","175.126.178.116","sungwonryu1","TCP"
"110","175.126.178.116","175.126.178.116","sungwonryu1","TCP"
"120","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"122","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"124","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"126","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"128","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"130","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"132","175.126.178.116","175.126.178.116","sungwonryu1","TCP"
"140","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"149","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"151","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"153","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"163","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"165","175.126.178.116","175.126.178.116","sungwonryu1","TCP"
"167","175.126.178.116","175.126.178.116","sungwonryu1","TCP"
"177","175.126.178.116","175.126.178.116","sungwonryu1","TCP"
"179","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"181","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"187","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"189","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"205","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"207","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"219","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"221","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"223","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"225","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"227","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"229","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"231","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"233","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"253","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"255","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"257","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"259","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"285","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"287","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"289","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"291","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"293","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"299","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"301","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"303","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"305","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"307","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"309","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"313","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"315","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"321","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"330","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"332","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"334","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"344","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"348","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"354","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"356","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"358","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"360","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"362","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"370","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"379","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"381","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"383","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"393","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"397","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"408","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"410","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"412","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"414","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"416","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"424","syrup-appif.smartwallet.co.kr","175.126.178.115","sungwonryu1","TCP"
"433","syrup-appif.smartwallet.co.kr","175.126.178.115","sungwonryu1","TCP"
"435","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"437","syrup-appif.smartwallet.co.kr","175.126.178.115","sungwonryu1","TLSv1.2"
"439","syrup-appif.smartwallet.co.kr","175.126.178.115","sungwonryu1","TCP"
"441","syrup-appif.smartwallet.co.kr","175.126.178.115","sungwonryu1","TCP"
"443","syrup-appif.smartwallet.co.kr","175.126.178.115","sungwonryu1","TCP"
"445","syrup-appif.smartwallet.co.kr","175.126.178.115","sungwonryu1","TLSv1.2"
"460","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"462","syrup-appif.smartwallet.co.kr","175.126.178.115","sungwonryu1","TLSv1.2"
"470","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"472","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"485","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"487","syrup-appif.smartwallet.co.kr","175.126.178.115","sungwonryu1","TCP"
"489","syrup-appif.smartwallet.co.kr","175.126.178.115","sungwonryu1","TLSv1.2"
"491","syrup-appif.smartwallet.co.kr","175.126.178.115","sungwonryu1","TLSv1.2"
"493","syrup-appif.smartwallet.co.kr","175.126.178.115","sungwonryu1","TLSv1.2"
"501","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"507","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"509","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"511","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"513","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"515","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"523","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"532","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"534","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"536","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"546","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"550","syrup-appif.smartwallet.co.kr","175.126.178.115","sungwonryu1","TCP"
"566","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"572","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"574","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"576","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"578","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"580","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"588","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"597","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"599","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"601","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"611","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"615","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"621","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"623","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"625","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"627","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"629","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"637","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"646","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"648","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"652","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"660","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
