"No.","Host","Ip","dst","Protocol"
"17","rake.skplanet.com","203.235.200.18","sungwonryu1","TCP"
"40","idm.skplanet.com","1.234.81.14","sungwonryu1","TCP"
"46","rake.skplanet.com","203.235.200.18","sungwonryu1","TCP"
"48","175.126.178.115","175.126.178.115","sungwonryu1","TCP"
"54","rake.skplanet.com","203.235.200.18","sungwonryu1","TLSv1.2"
"56","rake.skplanet.com","203.235.200.18","sungwonryu1","TCP"
"58","rake.skplanet.com","203.235.200.18","sungwonryu1","TCP"
"60","rake.skplanet.com","203.235.200.18","sungwonryu1","TLSv1.2"
"68","175.126.178.115","175.126.178.115","sungwonryu1","TCP"
"70","175.126.178.116","175.126.178.116","sungwonryu1","TCP"
"76","idm.skplanet.com","1.234.81.14","sungwonryu1","TCP"
"78","175.126.178.115","175.126.178.115","sungwonryu1","TCP"
"80","idm.skplanet.com","1.234.81.14","sungwonryu1","TLSv1.2"
"82","idm.skplanet.com","1.234.81.14","sungwonryu1","TCP"
"84","idm.skplanet.com","1.234.81.14","sungwonryu1","TCP"
"86","idm.skplanet.com","1.234.81.14","sungwonryu1","TLSv1.2"
"88","175.126.178.115","175.126.178.115","sungwonryu1","TLSv1.2"
"90","175.126.178.115","175.126.178.115","sungwonryu1","TCP"
"100","175.126.178.115","175.126.178.115","sungwonryu1","TCP"
"102","175.126.178.115","175.126.178.115","sungwonryu1","TCP"
"104","175.126.178.115","175.126.178.115","sungwonryu1","TLSv1.2"
"110","rake.skplanet.com","203.235.200.18","sungwonryu1","TLSv1.2"
"112","175.126.178.115","175.126.178.115","sungwonryu1","TCP"
"114","175.126.178.115","175.126.178.115","sungwonryu1","TLSv1.2"
"116","175.126.178.115","175.126.178.115","sungwonryu1","TCP"
"118","175.126.178.115","175.126.178.115","sungwonryu1","TCP"
"120","175.126.178.115","175.126.178.115","sungwonryu1","TCP"
"122","175.126.178.115","175.126.178.115","sungwonryu1","TLSv1.2"
"124","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"126","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"128","175.126.178.116","175.126.178.116","sungwonryu1","TCP"
"130","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"132","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"134","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"136","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"156","175.126.178.116","175.126.178.116","sungwonryu1","TCP"
"158","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"160","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"162","idm.skplanet.com","1.234.81.14","sungwonryu1","TLSv1.2"
"190","rake.skplanet.com","203.235.200.18","sungwonryu1","TCP"
"192","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"194","rake.skplanet.com","203.235.200.18","sungwonryu1","TCP"
"196","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"198","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"200","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"202","175.126.178.116","175.126.178.116","sungwonryu1","TCP"
"204","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"209","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"211","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"213","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"215","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"217","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"219","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"221","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"223","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"225","rake.skplanet.com","203.235.200.18","sungwonryu1","TCP"
"227","175.126.178.115","175.126.178.115","sungwonryu1","TLSv1.2"
"229","mt.skpsyrup.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"231","idm.skplanet.com","1.234.81.14","sungwonryu1","TCP"
"233","idm.skplanet.com","1.234.81.14","sungwonryu1","TCP"
"235","idm.skplanet.com","1.234.81.14","sungwonryu1","TCP"
"237","175.126.178.115","175.126.178.115","sungwonryu1","TLSv1.2"
"293","mt.skpsyrup.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"295","idm.skplanet.com","1.234.81.14","sungwonryu1","TCP"
"297","rake.skplanet.com","203.235.200.18","sungwonryu1","TCP"
"299","rake.skplanet.com","203.235.200.18","sungwonryu1","TCP"
"301","mt.skpsyrup.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TLSv1.2"
"303","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"305","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"307","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"309","175.126.178.115","175.126.178.115","sungwonryu1","TCP"
"311","175.126.178.115","175.126.178.115","sungwonryu1","TCP"
"339","mt.skpsyrup.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"341","mt.skpsyrup.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"343","mt.skpsyrup.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"345","mt.skpsyrup.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"355","mt.skpsyrup.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"357","skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"359","skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"361","rake.skplanet.com","203.235.200.18","sungwonryu1","TCP"
"363","skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"365","rake.skplanet.com","203.235.200.18","sungwonryu1","TLSv1.2"
"367","rake.skplanet.com","203.235.200.18","sungwonryu1","TCP"
"369","rake.skplanet.com","203.235.200.18","sungwonryu1","TCP"
"371","rake.skplanet.com","203.235.200.18","sungwonryu1","TLSv1.2"
"391","mt.skpsyrup.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"393","mt.skpsyrup.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"395","mt.skpsyrup.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"397","mt.skpsyrup.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"399","mt.skpsyrup.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"401","mt.skpsyrup.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"403","175.126.178.115","175.126.178.115","sungwonryu1","TLSv1.2"
"405","175.126.178.115","175.126.178.115","sungwonryu1","TLSv1.2"
"407","175.126.178.115","175.126.178.115","sungwonryu1","TLSv1.2"
"409","175.126.178.115","175.126.178.115","sungwonryu1","TLSv1.2"
"427","mt.skpsyrup.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"429","mt.skpsyrup.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TLSv1.2"
"431","skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"433","skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"435","skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
