"No.","Host","Ip","dst","Protocol"
"40","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"52","175.126.178.127","175.126.178.127","sungwonryu1","TCP"
"54","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"60","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"62","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"64","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"66","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"68","auth-real-1590555573.ap-northeast-1.elb.amazonaws.com","52.192.243.217","sungwonryu1","TCP"
"70","nrt20s09-in-f3.1e100.net","172.217.161.67","sungwonryu1","TCP"
"72","175.126.178.127","175.126.178.127","sungwonryu1","TCP"
"74","175.126.178.127","175.126.178.127","sungwonryu1","TLSv1.2"
"76","175.126.178.127","175.126.178.127","sungwonryu1","TCP"
"80","175.126.178.127","175.126.178.127","sungwonryu1","TCP"
"82","175.126.178.127","175.126.178.127","sungwonryu1","TLSv1.2"
"84","17.173.66.181","17.173.66.181","sungwonryu1","TCP"
"108","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"110","auth-real-1590555573.ap-northeast-1.elb.amazonaws.com","52.192.243.217","sungwonryu1","TCP"
"112","nrt20s09-in-f3.1e100.net","172.217.161.67","sungwonryu1","TCP"
"114","auth-real-1590555573.ap-northeast-1.elb.amazonaws.com","52.192.243.217","sungwonryu1","HTTP"
"127","nrt20s09-in-f3.1e100.net","172.217.161.67","sungwonryu1","TLSv1.3"
"129","nrt20s09-in-f3.1e100.net","172.217.161.67","sungwonryu1","TCP"
"131","nrt20s09-in-f3.1e100.net","172.217.161.67","sungwonryu1","TLSv1.3"
"137","175.126.178.127","175.126.178.127","sungwonryu1","TLSv1.2"
"139","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"141","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"143","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"180","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"182","175.126.178.127","175.126.178.127","sungwonryu1","TCP"
"188","175.126.178.127","175.126.178.127","sungwonryu1","TCP"
"194","175.126.178.127","175.126.178.127","sungwonryu1","TCP"
"196","175.126.178.127","175.126.178.127","sungwonryu1","TCP"
"198","175.126.178.127","175.126.178.127","sungwonryu1","TCP"
"200","175.126.178.127","175.126.178.127","sungwonryu1","TCP"
"202","nrt20s09-in-f3.1e100.net","172.217.161.67","sungwonryu1","TCP"
"204","nrt20s09-in-f3.1e100.net","172.217.161.67","sungwonryu1","TLSv1.3"
"206","nrt20s09-in-f3.1e100.net","172.217.161.67","sungwonryu1","TLSv1.3"
"225","server-13-225-132-87.icn54.r.cloudfront.net","13.225.132.87","sungwonryu1","TCP"
"227","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"229","175.126.178.115","175.126.178.115","sungwonryu1","TCP"
"231","175.126.178.115","175.126.178.115","sungwonryu1","TCP"
"233","mt.skpsyrup.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"238","nrt20s09-in-f3.1e100.net","172.217.161.67","sungwonryu1","TLSv1.3"
"240","nrt20s09-in-f3.1e100.net","172.217.161.67","sungwonryu1","TLSv1.3"
"242","nrt20s09-in-f3.1e100.net","172.217.161.67","sungwonryu1","TLSv1.3"
"244","nrt20s09-in-f3.1e100.net","172.217.161.67","sungwonryu1","TLSv1.3"
"246","nrt20s09-in-f3.1e100.net","172.217.161.67","sungwonryu1","TLSv1.3"
"248","175.126.178.115","175.126.178.115","sungwonryu1","TCP"
"282","175.126.178.115","175.126.178.115","sungwonryu1","TCP"
"284","17.173.66.181","17.173.66.181","sungwonryu1","TCP"
"286","17.173.66.181","17.173.66.181","sungwonryu1","TCP"
"314","17.173.66.181","17.173.66.181","sungwonryu1","TCP"
"316","17.173.66.181","17.173.66.181","sungwonryu1","TLSv1.2"
"318","17.173.66.181","17.173.66.181","sungwonryu1","TLSv1.2"
"320","175.126.178.115","175.126.178.115","sungwonryu1","TCP"
"332","server-13-225-132-87.icn54.r.cloudfront.net","13.225.132.87","sungwonryu1","TCP"
"334","server-13-225-132-87.icn54.r.cloudfront.net","13.225.132.87","sungwonryu1","TLSv1.2"
"336","server-13-225-132-87.icn54.r.cloudfront.net","13.225.132.87","sungwonryu1","TCP"
