"No.","Host","Ip","dst","Protocol"
"3","175.126.178.132","175.126.178.132","sungwonryu1","TCP"
"35","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"37","175.126.178.132","175.126.178.132","sungwonryu1","TLSv1.2"
"39","175.126.178.132","175.126.178.132","sungwonryu1","TLSv1.2"
"49","175.126.178.135","175.126.178.135","sungwonryu1","TCP"
"55","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"57","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"59","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"61","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"63","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"65","175.126.178.135","175.126.178.135","sungwonryu1","TCP"
"73","175.126.178.135","175.126.178.135","sungwonryu1","TCP"
"75","175.126.178.135","175.126.178.135","sungwonryu1","TCP"
"77","175.126.178.135","175.126.178.135","sungwonryu1","TCP"
"79","175.126.178.135","175.126.178.135","sungwonryu1","TCP"
"81","175.126.178.135","175.126.178.135","sungwonryu1","HTTP"
"89","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"113","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"115","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"117","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"128","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"130","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"144","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"146","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"148","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"150","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"164","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"166","58.228.245.66","58.228.245.66","sungwonryu1","TLSv1.2"
"168","58.228.245.66","58.228.245.66","sungwonryu1","TLSv1.2"
"172","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"174","developers.gl.kakao.com","27.0.237.18","sungwonryu1","TCP"
"176","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"178","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"180","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"182","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","HTTP"
"184","58.228.245.66","58.228.245.66","sungwonryu1","TLSv1.2"
"186","58.228.245.66","58.228.245.66","sungwonryu1","TLSv1.2"
"188","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"190","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"192","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"194","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"196","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"198","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"200","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"202","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"206","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"208","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"210","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"234","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"236","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"238","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"240","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"242","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"244","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"246","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"248","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"250","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"252","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"254","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","HTTP"
"256","developers.gl.kakao.com","27.0.237.18","sungwonryu1","TCP"
"258","developers.gl.kakao.com","27.0.237.18","sungwonryu1","HTTP"
"260","58.228.245.66","58.228.245.66","sungwonryu1","TLSv1.2"
"262","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"264","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
