"No.","Host","Ip","dst","Protocol"
"5","skpis.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"7","skpis.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"11","skpis.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"15","skpis.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"43","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"49","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"51","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"53","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"55","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"57","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"59","175.126.178.116","175.126.178.116","sungwonryu1","TCP"
"61","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"63","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"77","175.126.178.116","175.126.178.116","sungwonryu1","TCP"
"79","203.235.200.18","203.235.200.18","sungwonryu1","TLSv1.2"
"90","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"92","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"94","175.126.178.116","175.126.178.116","sungwonryu1","TCP"
"96","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"98","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"100","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"102","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"110","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"112","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"114","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"126","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"128","203.235.200.18","203.235.200.18","sungwonryu1","TCP"
"130","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"132","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"134","175.126.178.116","175.126.178.116","sungwonryu1","TLSv1.2"
"136","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"138","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"140","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"142","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"144","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
"146","58.228.245.66","58.228.245.66","sungwonryu1","TLSv1.2"
"148","skpis.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"150","skpis.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"152","skpis.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"154","skpis.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"156","skpis.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TLSv1.2"
"196","58.228.245.66","58.228.245.66","sungwonryu1","TCP"
