"No.","Host","Ip","dst","Protocol"
"9","skppoc.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"11","skppoc.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"13","skppoc.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"15","skppoc.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"39","175.126.178.116","175.126.178.116","sungwonryu1","TCP"
"41","175.126.178.116","175.126.178.116","sungwonryu1","TCP"
"51","175.126.178.116","175.126.178.116","sungwonryu1","TCP"
"53","175.126.178.135","175.126.178.135","sungwonryu1","TCP"
"59","175.126.178.135","175.126.178.135","sungwonryu1","TCP"
"73","skppoc.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"81","skppoc.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"83","skppoc.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"85","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"87","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"89","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"91","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"115","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"117","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"119","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"121","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"123","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"125","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"127","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"129","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"131","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"133","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"159","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"161","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"163","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"165","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"167","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"169","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"173","175.126.178.135","175.126.178.135","sungwonryu1","TCP"
"180","175.126.178.135","175.126.178.135","sungwonryu1","TCP"
"182","175.126.178.135","175.126.178.135","sungwonryu1","TCP"
"186","175.126.178.135","175.126.178.135","sungwonryu1","TCP"
"188","175.126.178.135","175.126.178.135","sungwonryu1","TCP"
"190","175.126.178.135","175.126.178.135","sungwonryu1","TCP"
"192","175.126.178.135","175.126.178.135","sungwonryu1","TCP"
"198","175.126.178.135","175.126.178.135","sungwonryu1","TCP"
"200","175.126.178.135","175.126.178.135","sungwonryu1","TCP"
"202","175.126.178.135","175.126.178.135","sungwonryu1","TCP"
"204","175.126.178.135","175.126.178.135","sungwonryu1","TCP"
"206","175.126.178.135","175.126.178.135","sungwonryu1","TCP"
"216","175.126.178.135","175.126.178.135","sungwonryu1","TCP"
"218","175.126.178.135","175.126.178.135","sungwonryu1","TCP"
"222","175.126.178.135","175.126.178.135","sungwonryu1","TCP"
"224","175.126.178.135","175.126.178.135","sungwonryu1","HTTP"
"236","mt.skpsyrup.cache.scs.skcdn.co.kr","211.110.12.146","sungwonryu1","TCP"
"244","skppoc.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"246","skppoc.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"250","skppoc.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"252","skppoc.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"254","skppoc.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"256","skppoc.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","TCP"
"258","skppoc.cache.scs.skcdn.co.kr","58.228.245.66","sungwonryu1","HTTP"
