"No.","Host","Ip","dst","Protocol"
"5","ec2-3-114-8-231.ap-northeast-1.compute.amazonaws.com","3.114.8.231","sungwonryu1","TCP"
"7","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"18","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"20","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"22","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"24","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"26","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"28","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"30","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"32","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"34","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"36","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"38","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"40","ec2-3-114-8-231.ap-northeast-1.compute.amazonaws.com","3.114.8.231","sungwonryu1","TCP"
"42","ec2-3-114-8-231.ap-northeast-1.compute.amazonaws.com","3.114.8.231","sungwonryu1","TLSv1.2"
"44","ec2-3-114-8-231.ap-northeast-1.compute.amazonaws.com","3.114.8.231","sungwonryu1","TCP"
"46","ec2-3-114-8-231.ap-northeast-1.compute.amazonaws.com","3.114.8.231","sungwonryu1","TCP"
"48","ec2-3-114-8-231.ap-northeast-1.compute.amazonaws.com","3.114.8.231","sungwonryu1","TCP"
"50","ec2-3-114-8-231.ap-northeast-1.compute.amazonaws.com","3.114.8.231","sungwonryu1","TLSv1.2"
"63","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"65","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"67","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"69","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"71","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"73","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"75","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"77","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"79","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"121","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"123","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"125","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"127","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"129","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"131","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"133","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
"135","211.188.203.41","211.188.203.41","sungwonryu1","TCP"
