"No.","Host","Ip","dst","Protocol"
"49","211.188.203.41","211.188.203.41","gosh2.local","TCP"
"55","211.188.203.41","211.188.203.41","gosh2.local","TCP"
"57","211.188.203.41","211.188.203.41","gosh2.local","TCP"
"59","211.188.203.41","211.188.203.41","gosh2.local","TCP"
"61","211.188.203.41","211.188.203.41","gosh2.local","TCP"
"63","211.188.203.41","211.188.203.41","gosh2.local","TCP"
"69","211.188.203.41","211.188.203.41","gosh2.local","TCP"
"71","211.188.203.41","211.188.203.41","gosh2.local","TCP"
"73","211.188.203.41","211.188.203.41","gosh2.local","TCP"
"75","211.188.203.41","211.188.203.41","gosh2.local","TCP"
"89","events-endpoint-455714294.us-east-1.elb.amazonaws.com","50.17.217.111","gosh2.local","TCP"
"97","events-endpoint-455714294.us-east-1.elb.amazonaws.com","50.17.217.111","gosh2.local","TCP"
"99","events-endpoint-455714294.us-east-1.elb.amazonaws.com","50.17.217.111","gosh2.local","TLSv1.2"
"101","events-endpoint-455714294.us-east-1.elb.amazonaws.com","50.17.217.111","gosh2.local","TCP"
"103","events-endpoint-455714294.us-east-1.elb.amazonaws.com","50.17.217.111","gosh2.local","TLSv1.2"
"105","events-endpoint-455714294.us-east-1.elb.amazonaws.com","50.17.217.111","gosh2.local","TLSv1.2"
"107","nrt20s02-in-f14.1e100.net","172.217.26.14","gosh2.local","TCP"
"109","nrt20s02-in-f14.1e100.net","172.217.26.14","gosh2.local","TLSv1.2"
"111","211.188.203.41","211.188.203.41","gosh2.local","TCP"
"153","config.vsm.tmap.co.kr","223.62.244.204","gosh2.local","TCP"
"159","farm68.ids.onestore.co.kr","211.188.203.68","gosh2.local","TCP"
"165","ntmap.tmap.co.kr","223.39.115.162","gosh2.local","TCP"
"171","config.vsm.tmap.co.kr","223.62.244.204","gosh2.local","TCP"
"173","config.vsm.tmap.co.kr","223.62.244.204","gosh2.local","HTTP"
"175","farm68.ids.onestore.co.kr","211.188.203.68","gosh2.local","TCP"
"181","farm68.ids.onestore.co.kr","211.188.203.68","gosh2.local","TCP"
