"No.","Host","Ip","dst","Protocol"
"3","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"7","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"13","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"15","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"17","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"19","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"21","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"23","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"25","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"34","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"36","183.111.129.147","183.111.129.147","sungwonryu1","TCP"
"49","183.111.129.147","183.111.129.147","sungwonryu1","TCP"
"51","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"57","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"59","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"61","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"63","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"65","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"67","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"69","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"71","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"73","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"91","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"93","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"97","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"99","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"101","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"103","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"105","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"107","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"115","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"117","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"121","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"123","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"125","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"127","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"129","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"131","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"133","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"135","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"137","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"139","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"151","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"153","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"155","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"157","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"159","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"161","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"163","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"165","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"167","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"169","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"171","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"199","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"201","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"203","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"205","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"207","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"209","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"211","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"213","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"215","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"217","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"219","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"221","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"223","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"253","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"312","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"317","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"323","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"325","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"327","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"329","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"331","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"333","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"335","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"351","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"355","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"357","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"359","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"361","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"363","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"365","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"367","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"369","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"371","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"373","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"375","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"381","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"383","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"385","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"387","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"399","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"401","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"403","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"405","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"407","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"409","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"411","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"413","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"415","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"427","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"429","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"431","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"433","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"435","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"437","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"439","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"441","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"459","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"461","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"463","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"465","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"467","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"469","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"471","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"473","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"475","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"477","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"499","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"501","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"507","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"509","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"511","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"513","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"515","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"517","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"519","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"521","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"541","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"545","223.39.115.137","223.39.115.137","sungwonryu1","TCP"
"547","223.39.115.137","223.39.115.137","sungwonryu1","TCP"
"549","223.39.115.137","223.39.115.137","sungwonryu1","TCP"
"551","223.39.115.137","223.39.115.137","sungwonryu1","TCP"
"553","223.39.115.137","223.39.115.137","sungwonryu1","TCP"
"555","223.39.115.137","223.39.115.137","sungwonryu1","TCP"
"557","223.39.115.137","223.39.115.137","sungwonryu1","TCP"
"559","223.39.115.137","223.39.115.137","sungwonryu1","TCP"
"561","223.39.115.137","223.39.115.137","sungwonryu1","TCP"
"563","223.39.115.137","223.39.115.137","sungwonryu1","TCP"
"575","223.39.115.137","223.39.115.137","sungwonryu1","TCP"
"577","223.39.115.137","223.39.115.137","sungwonryu1","TCP"
"579","223.39.115.137","223.39.115.137","sungwonryu1","TLSv1.2"
"596","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"602","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"604","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"606","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"608","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"610","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"612","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"614","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"630","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"640","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"642","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"644","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"646","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"648","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"650","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"652","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"654","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"656","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"658","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"660","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"662","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"664","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"668","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"670","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"672","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"674","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"700","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"702","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"704","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"706","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"708","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"710","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"712","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"714","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"716","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"718","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"720","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"722","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"724","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"726","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"728","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"730","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"732","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"734","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"736","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"738","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"740","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"742","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"744","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
"746","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"748","223.62.244.200","223.62.244.200","sungwonryu1","TLSv1.2"
"750","223.62.244.200","223.62.244.200","sungwonryu1","TCP"
