"No.","Host","Ip","dst","Protocol"
"232","api2.branch.io","52.84.189.187","sungwonryu1.local","TCP"
"234","static.twitchcdn.net","52.85.192.77","sungwonryu1.local","TCP"
"236","connectivitycheck.gstatic.com","216.58.197.131","sungwonryu1.local","TCP"
"238","crashlytics.l.google.com","172.217.27.67","sungwonryu1.local","TCP"
"244","config.ioam.de","91.215.100.47","sungwonryu1.local","TCP"
"246","crashlytics.l.google.com","172.217.27.67","sungwonryu1.local","TCP"
"248","connectivitycheck.gstatic.com","216.58.197.131","sungwonryu1.local","TCP"
"258","static.twitchcdn.net","52.85.192.77","sungwonryu1.local","TCP"
"260","static.twitchcdn.net","52.85.192.77","sungwonryu1.local","TLSv1.2"
"262","static.twitchcdn.net","52.85.192.77","sungwonryu1.local","TCP"
"264","static.twitchcdn.net","52.85.192.77","sungwonryu1.local","TCP"
"266","static.twitchcdn.net","52.85.192.77","sungwonryu1.local","TLSv1.2"
"268","static.twitchcdn.net","52.85.192.77","sungwonryu1.local","TLSv1.2"
"270","api2.branch.io","52.84.189.187","sungwonryu1.local","TCP"
"272","api2.branch.io","52.84.189.187","sungwonryu1.local","TLSv1.2"
"274","api2.branch.io","52.84.189.187","sungwonryu1.local","TCP"
"276","api2.branch.io","52.84.189.187","sungwonryu1.local","TLSv1.2"
"278","api2.branch.io","52.84.189.187","sungwonryu1.local","TLSv1.2"
"308","api2.branch.io","52.84.189.187","sungwonryu1.local","TCP"
"310","connectivitycheck.gstatic.com","216.58.197.131","sungwonryu1.local","TCP"
"312","android.l.google.com","172.217.25.78","sungwonryu1.local","TCP"
"314","crashlytics.l.google.com","172.217.27.67","sungwonryu1.local","TCP"
"316","connectivitycheck.gstatic.com","216.58.197.131","sungwonryu1.local","TLSv1.2"
"318","connectivitycheck.gstatic.com","216.58.197.131","sungwonryu1.local","TCP"
"320","connectivitycheck.gstatic.com","216.58.197.131","sungwonryu1.local","TLSv1.2"
"322","crashlytics.l.google.com","172.217.27.67","sungwonryu1.local","TLSv1.2"
"324","crashlytics.l.google.com","172.217.27.67","sungwonryu1.local","TCP"
"326","crashlytics.l.google.com","172.217.27.67","sungwonryu1.local","TLSv1.2"
"328","twitch.map.fastly.net","151.101.230.167","sungwonryu1.local","TCP"
"330","api2.branch.io","52.84.189.187","sungwonryu1.local","TCP"
"348","static.twitchcdn.net","52.85.192.77","sungwonryu1.local","TCP"
"350","static.twitchcdn.net","52.85.192.77","sungwonryu1.local","TLSv1.2"
"352","api2.branch.io","52.84.189.187","sungwonryu1.local","TCP"
"354","api2.branch.io","52.84.189.187","sungwonryu1.local","TLSv1.2"
"356","config.ioam.de","91.215.100.47","sungwonryu1.local","TCP"
"358","config.ioam.de","91.215.100.47","sungwonryu1.local","TLSv1.2"
"360","config.ioam.de","91.215.100.47","sungwonryu1.local","TCP"
"362","config.ioam.de","91.215.100.47","sungwonryu1.local","TCP"
"364","config.ioam.de","91.215.100.47","sungwonryu1.local","TLSv1.2"
"366","android.l.google.com","172.217.25.78","sungwonryu1.local","TCP"
"368","android.l.google.com","172.217.25.78","sungwonryu1.local","TLSv1.3"
"412","static.twitchcdn.net","52.85.192.77","sungwonryu1.local","TLSv1.2"
"414","static.twitchcdn.net","52.85.192.77","sungwonryu1.local","TLSv1.2"
"416","static.twitchcdn.net","52.85.192.77","sungwonryu1.local","TCP"
"418","static.twitchcdn.net","52.85.192.77","sungwonryu1.local","TCP"
"420","static.twitchcdn.net","52.85.192.77","sungwonryu1.local","TCP"
"422","static.twitchcdn.net","52.85.192.77","sungwonryu1.local","TCP"
"424","static.twitchcdn.net","52.85.192.77","sungwonryu1.local","TCP"
"426","static.twitchcdn.net","52.85.192.77","sungwonryu1.local","TCP"
"428","static.twitchcdn.net","52.85.192.77","sungwonryu1.local","TCP"
"430","static.twitchcdn.net","52.85.192.77","sungwonryu1.local","TCP"
"432","connectivitycheck.gstatic.com","216.58.197.131","sungwonryu1.local","TLSv1.2"
"434","crashlytics.l.google.com","172.217.27.67","sungwonryu1.local","TLSv1.2"
"436","static.twitchcdn.net","52.85.192.77","sungwonryu1.local","TLSv1.2"
"438","android.l.google.com","172.217.25.78","sungwonryu1.local","TCP"
"440","api2.branch.io","52.84.189.187","sungwonryu1.local","TCP"
"442","twitch.map.fastly.net","151.101.230.167","sungwonryu1.local","TCP"
"444","twitch.map.fastly.net","151.101.230.167","sungwonryu1.local","TLSv1.2"
"446","twitch.map.fastly.net","151.101.230.167","sungwonryu1.local","TCP"
"448","twitch.map.fastly.net","151.101.230.167","sungwonryu1.local","TLSv1.2"
"450","twitch.map.fastly.net","151.101.230.167","sungwonryu1.local","TLSv1.2"
"452","config.ioam.de","91.215.100.47","sungwonryu1.local","TLSv1.2"
"454","api2.branch.io","52.84.189.187","sungwonryu1.local","TLSv1.2"
"470","crashlytics.l.google.com","172.217.27.67","sungwonryu1.local","TCP"
"472","connectivitycheck.gstatic.com","216.58.197.131","sungwonryu1.local","TLSv1.2"
"474","static.twitchcdn.net","52.85.192.77","sungwonryu1.local","TCP"
"476","api2.branch.io","52.84.189.187","sungwonryu1.local","TCP"
"478","crashlytics.l.google.com","172.217.27.67","sungwonryu1.local","TLSv1.2"
"480","crashlytics.l.google.com","172.217.27.67","sungwonryu1.local","TLSv1.2"
"482","crashlytics.l.google.com","172.217.27.67","sungwonryu1.local","TLSv1.2"
"487","static.twitchcdn.net","52.85.192.77","sungwonryu1.local","TCP"
"491","twitch.map.fastly.net","151.101.230.167","sungwonryu1.local","TCP"
"540","android.l.google.com","172.217.25.78","sungwonryu1.local","TCP"
"542","connectivitycheck.gstatic.com","216.58.197.131","sungwonryu1.local","TCP"
"544","crashlytics.l.google.com","172.217.27.67","sungwonryu1.local","TCP"
"546","twitch.map.fastly.net","151.101.230.167","sungwonryu1.local","TCP"
"548","twitch.map.fastly.net","151.101.230.167","sungwonryu1.local","TLSv1.2"
