"No.","Host","Ip","dst","Protocol"
"1","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"3","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"11","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"13","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"17","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"19","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"21","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"23","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"27","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"29","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"35","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"37","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"41","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"43","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"47","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"49","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"51","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"53","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"55","h2.twitch.map.fastly.net","151.101.110.214","sungwonryu1.local","SSL"
"60","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"62","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"66","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"68","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TCP"
"72","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"74","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"76","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"80","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"82","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"86","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"88","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"92","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"94","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"98","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"100","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"104","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"106","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"110","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"112","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"116","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"118","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"120","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"122","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"130","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"132","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"134","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"136","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"138","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"140","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"142","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"144","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"146","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"148","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"150","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"152","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"166","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"168","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"170","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"172","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"174","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"180","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"182","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"184","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TCP"
"186","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"192","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"194","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"198","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"200","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"204","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"206","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"212","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"214","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"216","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"218","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"224","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"226","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"230","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"232","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"236","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TCP"
"238","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"250","151.101.110.167","151.101.110.167","sungwonryu1.local","TCP"
"252","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"254","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"256","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
"258","d2nvs31859zcd8.cloudfront.net","52.84.186.240","sungwonryu1.local","TLSv1.2"
