"No.","Host","Ip","dst","Protocol"
"1","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"3","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"5","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"7","video-weaver-lb-0a92cc.sel03.hls.ttvnw.net","45.113.131.7","sungwonryu1.local","TCP"
"9","video-weaver-lb-0a92cc.sel03.hls.ttvnw.net","45.113.131.7","sungwonryu1.local","TCP"
"11","video-weaver-lb-0a92cc.sel03.hls.ttvnw.net","45.113.131.7","sungwonryu1.local","TLSv1.2"
"13","video-weaver-lb-0a92cc.sel03.hls.ttvnw.net","45.113.131.7","sungwonryu1.local","TCP"
"15","video-weaver-lb-0a92cc.sel03.hls.ttvnw.net","45.113.131.7","sungwonryu1.local","TCP"
"17","video-weaver-lb-0a92cc.sel03.hls.ttvnw.net","45.113.131.7","sungwonryu1.local","TCP"
"19","video-weaver-lb-0a92cc.sel03.hls.ttvnw.net","45.113.131.7","sungwonryu1.local","TCP"
"41","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"43","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"49","video-weaver-lb-0a92cc.sel03.hls.ttvnw.net","45.113.131.7","sungwonryu1.local","TCP"
"51","video-weaver-lb-0a92cc.sel03.hls.ttvnw.net","45.113.131.7","sungwonryu1.local","TLSv1.2"
"57","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"61","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"63","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"65","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"67","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"77","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TCP"
"81","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"83","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"85","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"93","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"97","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"99","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"105","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"107","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"113","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"117","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"119","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"121","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"129","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"133","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"135","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"137","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"139","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"146","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"153","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"159","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"161","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"163","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"165","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"167","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"177","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"179","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"185","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"187","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"193","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"195","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"197","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"199","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"205","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"207","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"213","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"215","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"217","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"219","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"221","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"223","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"243","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"245","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"247","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
"249","video-edge-0a9414.sel03.no-abs.hls.ttvnw.net","45.113.130.76","sungwonryu1.local","TLSv1.2"
