"No.","Host","Ip","dst","Protocol"
"1","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"5","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TLSv1.2"
"9","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"11","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"13","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"21","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"25","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"37","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"39","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"43","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"45","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"53","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"57","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"61","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"65","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"67","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"73","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"75","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"77","nrt20s21-in-f10.1e100.net","172.217.175.106","sungwonryu1.local","TCP"
"79","nrt20s21-in-f10.1e100.net","172.217.175.106","sungwonryu1.local","TCP"
"81","nrt20s21-in-f10.1e100.net","172.217.175.106","sungwonryu1.local","TCP"
"83","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"85","nrt20s21-in-f10.1e100.net","172.217.175.106","sungwonryu1.local","TCP"
"87","nrt20s21-in-f10.1e100.net","172.217.175.106","sungwonryu1.local","TCP"
"89","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"91","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"93","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"95","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"97","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"99","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","SSLv2"
"101","nrt20s21-in-f10.1e100.net","172.217.175.106","sungwonryu1.local","TLSv1.2"
"103","nrt20s21-in-f10.1e100.net","172.217.175.106","sungwonryu1.local","TLSv1.2"
"105","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"107","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"109","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"111","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"113","ec2-52-211-221-138.eu-west-1.compute.amazonaws.com","52.211.221.138","sungwonryu1.local","TCP"
"115","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"117","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"119","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"141","nrt20s21-in-f10.1e100.net","172.217.175.106","sungwonryu1.local","TCP"
"155","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"167","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"169","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"171","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"173","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"175","nrt20s21-in-f10.1e100.net","172.217.175.106","sungwonryu1.local","TCP"
"177","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"191","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"197","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"199","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"203","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"207","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"209","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","SSLv2"
"217","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"221","nrt20s21-in-f10.1e100.net","172.217.175.106","sungwonryu1.local","TCP"
"223","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"225","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"227","nrt20s21-in-f10.1e100.net","172.217.175.106","sungwonryu1.local","TCP"
"229","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"237","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"239","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"241","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"249","nrt20s21-in-f10.1e100.net","172.217.175.106","sungwonryu1.local","TLSv1.2"
"251","nrt20s21-in-f10.1e100.net","172.217.175.106","sungwonryu1.local","TLSv1.2"
"253","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","SSLv2"
"255","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"257","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"269","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","SSLv2"
"271","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"273","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"281","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"283","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"289","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"291","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"299","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"301","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"303","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"311","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"313","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"319","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"321","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"323","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"331","nrt20s21-in-f10.1e100.net","172.217.175.106","sungwonryu1.local","TCP"
"337","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"339","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"341","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","SSLv2"
"343","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"347","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"349","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"361","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"365","nrt20s21-in-f10.1e100.net","172.217.175.106","sungwonryu1.local","TCP"
"367","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"369","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"371","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"379","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"381","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"383","nrt20s21-in-f10.1e100.net","172.217.175.106","sungwonryu1.local","TLSv1.2"
"391","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"393","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"409","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"413","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"415","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TLSv1.2"
"417","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TLSv1.2"
"419","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","SSLv2"
"421","nrt20s21-in-f10.1e100.net","172.217.175.106","sungwonryu1.local","TCP"
"423","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"425","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"427","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"429","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"431","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"457","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"461","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"465","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"467","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"469","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"471","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"473","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"475","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"477","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"479","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"481","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"501","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"503","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","SSLv2"
"509","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"511","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"513","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"515","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"517","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TLSv1.2"
"519","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"533","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"535","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"537","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"541","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"549","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"553","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"555","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"557","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"559","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"565","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"567","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"573","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TLSv1.2"
"575","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"585","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TLSv1.2"
"587","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"591","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"593","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TLSv1.2"
"601","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"603","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"605","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"607","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"617","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"621","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"623","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"629","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"633","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"635","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"641","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"645","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"649","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"653","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TLSv1.2"
"655","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"657","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TLSv1.2"
"665","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"667","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"673","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TLSv1.2"
"675","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"681","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TLSv1.2"
"685","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"687","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"689","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"691","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"693","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"695","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TLSv1.2"
"697","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"699","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
"701","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TLSv1.2"
"703","server-52-85-231-33.icn55.r.cloudfront.net","52.85.231.33","sungwonryu1.local","TCP"
