"No.","Host","Ip","dst","Protocol"
"16","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"22","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"30","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"40","152.199.41.10","152.199.41.10","sungwonryu1","TLSv1.2"
"42","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"44","152.199.41.10","152.199.41.10","sungwonryu1","TLSv1.2"
"46","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"48","152.199.41.10","152.199.41.10","sungwonryu1","TLSv1.2"
"50","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"52","152.199.41.10","152.199.41.10","sungwonryu1","TLSv1.2"
"62","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"64","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"90","152.199.41.10","152.199.41.10","sungwonryu1","TLSv1.2"
"92","152.199.41.10","152.199.41.10","sungwonryu1","TLSv1.2"
"100","152.199.41.10","152.199.41.10","sungwonryu1","TLSv1.2"
"102","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"104","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"106","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"108","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"110","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"112","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"114","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"116","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"118","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"120","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"122","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"124","152.199.41.10","152.199.41.10","sungwonryu1","TLSv1.2"
"126","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"128","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"130","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"132","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"134","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"136","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"138","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"140","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"142","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"144","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"146","152.199.41.10","152.199.41.10","sungwonryu1","TLSv1.2"
"148","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"150","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"152","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"154","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"158","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"160","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"162","152.199.41.10","152.199.41.10","sungwonryu1","TLSv1.2"
"164","152.199.41.10","152.199.41.10","sungwonryu1","TLSv1.2"
"166","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"168","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"170","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"172","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"174","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"176","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"200","152.199.41.10","152.199.41.10","sungwonryu1","TLSv1.2"
