"No.","Host","Ip","dst","Protocol"
"25","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"31","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"37","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"39","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TLSv1.2"
"41","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"43","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TLSv1.2"
"45","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"47","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TLSv1.2"
"49","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"51","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TLSv1.2"
"55","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"57","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"79","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TLSv1.2"
"81","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TLSv1.2"
"91","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"93","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"95","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"97","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"99","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TLSv1.2"
"101","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"103","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"105","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"107","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"109","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"111","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"113","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"115","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"117","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"119","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"121","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TLSv1.2"
"123","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"125","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"127","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"129","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"131","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"133","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"139","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"141","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"143","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"145","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"147","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"149","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TLSv1.2"
"151","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"153","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"155","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"157","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"159","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"161","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"163","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TLSv1.2"
"165","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TLSv1.2"
"177","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"179","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"181","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"183","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"185","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TLSv1.2"
"187","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"189","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"191","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"205","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"207","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"209","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"211","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"213","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"215","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"217","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"219","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"221","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TLSv1.2"
"223","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"225","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"227","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"229","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"231","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"233","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"235","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"237","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"239","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"241","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"243","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"245","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TLSv1.2"
"247","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"249","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"255","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"257","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"259","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"261","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"263","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"265","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"267","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"269","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"271","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TLSv1.2"
"273","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"275","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"277","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"279","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"281","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"283","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"285","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"287","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"289","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"291","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"293","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"295","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TLSv1.2"
"353","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"355","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"357","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"361","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"363","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"365","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"367","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"369","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"377","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"379","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"381","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"383","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TLSv1.2"
"385","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"387","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"389","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"391","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"393","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"395","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"397","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"399","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"401","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"403","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"405","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TLSv1.2"
"407","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"425","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"427","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"429","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"431","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"433","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
"435","cs106.wpc.iotacdn.net","152.199.41.10","sungwonryu1","TCP"
