"No.","Host","Ip","dst","Protocol"
"3","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TCP"
"9","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TCP"
"11","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TLSv1.2"
"17","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TCP"
"21","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TCP"
"23","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TCP"
"25","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TCP"
"27","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TLSv1.2"
"29","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TLSv1.2"
"37","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TLSv1.2"
"39","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TCP"
"41","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TCP"
"43","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TCP"
"45","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TCP"
"47","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TCP"
"49","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TCP"
"51","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TCP"
"53","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TCP"
"55","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TCP"
"57","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TCP"
"69","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TCP"
"71","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TLSv1.2"
"75","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TCP"
"77","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TCP"
"79","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TCP"
"81","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TCP"
"87","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TCP"
"89","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TCP"
"93","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TCP"
"95","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TCP"
"99","vod-c7903.cdn.pooq.co.kr","13.225.105.30","sungwonryu1","TCP"
