No.,Host,Ip,dst,Protocol
308,203.133.166.32,203.133.166.32,sungwonryu1,TCP
310,203.133.166.32,203.133.166.32,sungwonryu1,TCP
334,203.133.166.32,203.133.166.32,sungwonryu1,TCP
408,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TCP
414,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TCP
422,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TCP
424,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TCP
426,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TLSv1.2
428,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TCP
430,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TLSv1.2
440,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TLSv1.2
444,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TCP
446,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TLSv1.2
460,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TLSv1.2
468,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TLSv1.2
470,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TLSv1.2
472,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TCP
474,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TCP
476,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TCP
478,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TCP
480,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TCP
482,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TCP
484,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TCP
486,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TCP
488,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TCP
490,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TCP
492,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TCP
494,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TLSv1.2
496,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TCP
498,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TCP
500,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TCP
502,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TCP
504,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TCP
506,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TCP
508,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TCP
510,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TCP
512,cs106.wpc.iotacdn.net,152.199.41.10,sungwonryu1,TCP
