"No.","Host","Ip","dst","Protocol"
"12","crashlytics.l.google.com","172.217.26.3","sungwonryu1","TCP"
"23","crashlytics.l.google.com","172.217.26.3","sungwonryu1","TCP"
"25","d3fmvko9o8lma2.cloudfront.net","13.225.105.57","sungwonryu1","TCP"
"27","crashlytics.l.google.com","172.217.26.3","sungwonryu1","TLSv1.2"
"29","crashlytics.l.google.com","172.217.26.3","sungwonryu1","TCP"
"31","crashlytics.l.google.com","172.217.26.3","sungwonryu1","TCP"
"33","crashlytics.l.google.com","172.217.26.3","sungwonryu1","TCP"
"39","d3fmvko9o8lma2.cloudfront.net","13.225.105.57","sungwonryu1","TCP"
"41","d3fmvko9o8lma2.cloudfront.net","13.225.105.57","sungwonryu1","TLSv1.2"
"43","d3fmvko9o8lma2.cloudfront.net","13.225.105.57","sungwonryu1","TCP"
"45","d3fmvko9o8lma2.cloudfront.net","13.225.105.57","sungwonryu1","TCP"
"47","d3fmvko9o8lma2.cloudfront.net","13.225.105.57","sungwonryu1","TLSv1.2"
"49","d3fmvko9o8lma2.cloudfront.net","13.225.105.57","sungwonryu1","TLSv1.2"
"75","d3fmvko9o8lma2.cloudfront.net","13.225.105.57","sungwonryu1","TCP"
"77","d3fmvko9o8lma2.cloudfront.net","13.225.105.57","sungwonryu1","TCP"
"79","d3fmvko9o8lma2.cloudfront.net","13.225.105.57","sungwonryu1","TLSv1.2"
"81","crashlytics.l.google.com","172.217.26.3","sungwonryu1","TLSv1.2"
"89","crashlytics.l.google.com","172.217.26.3","sungwonryu1","TLSv1.2"
"93","d3fmvko9o8lma2.cloudfront.net","13.225.105.57","sungwonryu1","TLSv1.2"
"95","d3fmvko9o8lma2.cloudfront.net","13.225.105.57","sungwonryu1","TLSv1.2"
"97","crashlytics.l.google.com","172.217.26.3","sungwonryu1","TCP"
"99","crashlytics.l.google.com","172.217.26.3","sungwonryu1","TLSv1.2"
"101","crashlytics.l.google.com","172.217.26.3","sungwonryu1","TLSv1.2"
"103","crashlytics.l.google.com","172.217.26.3","sungwonryu1","TLSv1.2"
"151","was-tracking-events-prod.ap-northeast-1.elasticbeanstalk.com","52.198.62.245","sungwonryu1","TCP"
