"No.","Host","Ip","dst","Protocol"
"1","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"3","152.199.41.10","152.199.41.10","sungwonryu1","SSLv2"
"5","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"13","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"15","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"21","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"23","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"25","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"27","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"29","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"31","152.199.41.10","152.199.41.10","sungwonryu1","SSLv2"
"33","152.199.41.10","152.199.41.10","sungwonryu1","SSLv2"
"35","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"53","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"55","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"57","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"65","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"67","152.199.41.10","152.199.41.10","sungwonryu1","SSLv2"
"69","152.199.41.10","152.199.41.10","sungwonryu1","SSLv2"
"71","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"73","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"75","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"77","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"79","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"81","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"83","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"85","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"87","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"89","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"91","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"93","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"95","152.199.41.10","152.199.41.10","sungwonryu1","SSLv2"
"97","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"99","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"101","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"103","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"105","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"107","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"109","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"111","152.199.41.10","152.199.41.10","sungwonryu1","SSLv2"
"113","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"115","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"117","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"119","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"121","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"185","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"187","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"191","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"193","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"197","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"199","152.199.41.10","152.199.41.10","sungwonryu1","SSLv2"
"201","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"203","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"205","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"207","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"209","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"211","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"213","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"215","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"217","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"219","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"221","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"223","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"225","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"251","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"253","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"255","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"257","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"259","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"261","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"263","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"265","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"275","152.199.41.10","152.199.41.10","sungwonryu1","SSLv2"
"277","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"279","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"281","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"283","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"285","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"287","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"289","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"291","152.199.41.10","152.199.41.10","sungwonryu1","TLSv1.2"
"293","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"295","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"311","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"313","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"315","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"317","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"319","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"321","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"323","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"325","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"327","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"347","152.199.41.10","152.199.41.10","sungwonryu1","TLSv1.2"
"349","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"351","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"353","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"355","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"357","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"359","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"361","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"363","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
"365","152.199.41.10","152.199.41.10","sungwonryu1","TCP"
