"No.","Host","Ip","dst","Protocol"
"15","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"17","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"93","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"109","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"131","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"133","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"135","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"137","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"139","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"141","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"165","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"175","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"177","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"179","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"187","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"195","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"199","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"207","nrt20s21-in-f10.1e100.net","172.217.175.106","sungwonryu1.local","TLSv1.2"
"209","nrt20s21-in-f10.1e100.net","172.217.175.106","sungwonryu1.local","TCP"
"219","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"229","nrt20s21-in-f10.1e100.net","172.217.175.106","sungwonryu1.local","TCP"
"233","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"235","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"247","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"249","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"255","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"271","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"277","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"297","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"299","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"303","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"318","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"330","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"334","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"342","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"348","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"350","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"354","nrt12s28-in-f14.1e100.net","172.217.174.110","sungwonryu1.local","TCP"
"364","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"366","nrt12s28-in-f14.1e100.net","172.217.174.110","sungwonryu1.local","TCP"
"380","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"396","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"406","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"414","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"416","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"418","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"434","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"438","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"442","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"444","nrt12s28-in-f14.1e100.net","172.217.174.110","sungwonryu1.local","TCP"
"446","nrt12s28-in-f14.1e100.net","172.217.174.110","sungwonryu1.local","TCP"
"448","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"452","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"454","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"456","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"458","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"460","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"462","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"464","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"482","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"484","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"486","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"491","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"525","nrt13s50-in-f74.1e100.net","172.217.25.74","sungwonryu1.local","UDP"
"533","nrt12s28-in-f14.1e100.net","172.217.174.110","sungwonryu1.local","TCP"
