"No.","Host","Ip","dst","Protocol"
"3","59.18.30.78","59.18.30.78","sungwonryu1.local","TCP"
"5","59.18.30.78","59.18.30.78","sungwonryu1.local","TCP"
"13","59.18.30.78","59.18.30.78","sungwonryu1.local","TCP"
"15","59.18.30.78","59.18.30.78","sungwonryu1.local","TCP"
"21","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"23","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"27","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"33","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"43","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"45","nrt20s21-in-f1.1e100.net","172.217.175.97","sungwonryu1.local","UDP"
"47","nrt20s21-in-f1.1e100.net","172.217.175.97","sungwonryu1.local","UDP"
"49","59.18.30.78","59.18.30.78","sungwonryu1.local","TCP"
"51","nrt20s21-in-f1.1e100.net","172.217.175.97","sungwonryu1.local","UDP"
"55","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"61","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"65","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"71","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"83","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"85","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"87","nrt20s21-in-f1.1e100.net","172.217.175.97","sungwonryu1.local","UDP"
"89","nrt20s21-in-f1.1e100.net","172.217.175.97","sungwonryu1.local","UDP"
"91","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"93","nrt20s21-in-f1.1e100.net","172.217.175.97","sungwonryu1.local","UDP"
"97","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"101","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"103","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"105","nrt20s21-in-f1.1e100.net","172.217.175.97","sungwonryu1.local","UDP"
"125","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"129","nrt20s21-in-f1.1e100.net","172.217.175.97","sungwonryu1.local","UDP"
"131","nrt20s21-in-f1.1e100.net","172.217.175.97","sungwonryu1.local","UDP"
"135","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"139","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"143","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"147","nrt20s20-in-f14.1e100.net","172.217.175.78","sungwonryu1.local","TLSv1.2"
"151","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"155","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"157","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"163","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"167","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"169","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"175","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"179","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"183","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"187","nrt20s21-in-f1.1e100.net","172.217.175.97","sungwonryu1.local","UDP"
"191","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"195","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"199","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"203","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"205","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"207","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"209","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"231","59.18.30.78","59.18.30.78","sungwonryu1.local","TCP"
"233","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"239","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"243","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"247","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"251","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"255","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"259","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"263","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"267","nrt20s20-in-f14.1e100.net","172.217.175.78","sungwonryu1.local","TLSv1.2"
"271","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"275","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"279","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"283","nrt20s20-in-f14.1e100.net","172.217.175.78","sungwonryu1.local","TLSv1.2"
"285","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"289","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"293","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"295","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"299","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"301","nrt20s20-in-f14.1e100.net","172.217.175.78","sungwonryu1.local","TLSv1.2"
"303","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"309","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"311","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"315","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"319","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"321","nrt20s20-in-f14.1e100.net","172.217.175.78","sungwonryu1.local","TCP"
"323","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"329","nrt12s17-in-f54.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
