"No.","Host","Ip","dst","Protocol"
"9","nrt12s23-in-f14.1e100.net","172.217.161.46","sungwonryu1.local","UDP"
"11","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"13","nrt12s23-in-f14.1e100.net","172.217.161.46","sungwonryu1.local","UDP"
"15","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"23","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"27","nrt12s28-in-f14.1e100.net","172.217.174.110","sungwonryu1.local","UDP"
"29","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"31","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"35","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"37","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"41","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"43","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"45","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"47","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"49","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"55","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"59","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"61","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"63","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"65","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"67","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"73","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"77","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"79","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"81","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"85","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"89","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"93","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"95","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"99","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"101","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"107","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"111","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"113","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"117","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"119","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"121","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"125","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"129","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"131","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"133","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"135","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"137","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"139","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"141","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"143","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"145","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"147","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"149","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"161","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"165","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"171","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"173","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"177","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"181","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"183","nrt12s23-in-f14.1e100.net","172.217.161.46","sungwonryu1.local","UDP"
"185","cache.google.com","59.18.34.205","sungwonryu1.local","UDP"
"189","tk-in-f102.1e100.net","64.233.188.102","sungwonryu1.local","UDP"
"204","tk-in-f102.1e100.net","64.233.188.102","sungwonryu1.local","UDP"
"206","tk-in-f102.1e100.net","64.233.188.102","sungwonryu1.local","UDP"
"227","nrt20s21-in-f10.1e100.net","172.217.175.106","sungwonryu1.local","UDP"
"229","nrt12s17-in-f22.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"231","nrt12s17-in-f22.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"233","nrt12s17-in-f22.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"235","nrt12s17-in-f22.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"237","nrt12s17-in-f22.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"241","nrt20s21-in-f10.1e100.net","172.217.175.106","sungwonryu1.local","UDP"
"243","nrt12s17-in-f22.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"245","tk-in-f102.1e100.net","64.233.188.102","sungwonryu1.local","TCP"
"247","nrt12s23-in-f14.1e100.net","172.217.161.46","sungwonryu1.local","UDP"
"249","nrt12s23-in-f14.1e100.net","172.217.161.46","sungwonryu1.local","UDP"
"255","nrt12s17-in-f22.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"259","nrt12s17-in-f22.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"265","nrt12s17-in-f22.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"267","tk-in-f102.1e100.net","64.233.188.102","sungwonryu1.local","UDP"
"269","tk-in-f102.1e100.net","64.233.188.102","sungwonryu1.local","UDP"
"271","tk-in-f102.1e100.net","64.233.188.102","sungwonryu1.local","UDP"
"273","tk-in-f102.1e100.net","64.233.188.102","sungwonryu1.local","UDP"
"279","nrt12s17-in-f22.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"301","nrt12s17-in-f22.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"307","photos-ugc.l.googleusercontent.com","172.217.175.97","sungwonryu1.local","UDP"
"309","tk-in-f102.1e100.net","64.233.188.102","sungwonryu1.local","UDP"
"311","nrt12s17-in-f22.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"313","tk-in-f102.1e100.net","64.233.188.102","sungwonryu1.local","UDP"
"315","tk-in-f102.1e100.net","64.233.188.102","sungwonryu1.local","UDP"
"317","tk-in-f102.1e100.net","64.233.188.102","sungwonryu1.local","UDP"
"319","tk-in-f102.1e100.net","64.233.188.102","sungwonryu1.local","UDP"
"321","tk-in-f102.1e100.net","64.233.188.102","sungwonryu1.local","UDP"
"323","tk-in-f102.1e100.net","64.233.188.102","sungwonryu1.local","UDP"
"325","nrt12s17-in-f22.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"327","nrt12s17-in-f22.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"341","nrt12s17-in-f22.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"345","nrt12s17-in-f22.1e100.net","172.217.26.54","sungwonryu1.local","UDP"
"347","nrt20s21-in-f10.1e100.net","172.217.175.106","sungwonryu1.local","UDP"
"349","tk-in-f102.1e100.net","64.233.188.102","sungwonryu1.local","TCP"
"351","tk-in-f102.1e100.net","64.233.188.102","sungwonryu1.local","TCP"
"353","tk-in-f102.1e100.net","64.233.188.102","sungwonryu1.local","TLSv1.3"
"355","nrt20s21-in-f10.1e100.net","172.217.175.106","sungwonryu1.local","UDP"
"357","tk-in-f102.1e100.net","64.233.188.102","sungwonryu1.local","UDP"
"359","tk-in-f102.1e100.net","64.233.188.102","sungwonryu1.local","UDP"
"361","nrt20s21-in-f10.1e100.net","172.217.175.106","sungwonryu1.local","UDP"
"363","tk-in-f102.1e100.net","64.233.188.102","sungwonryu1.local","UDP"
