"No.","Host","Ip","dst","Protocol"
"81","i.ytimg.com","172.217.25.246","sungwonryu1.local","UDP"
"95","i.ytimg.com","172.217.25.246","sungwonryu1.local","UDP"
"99","pagead46.l.doubleclick.net","172.217.24.130","sungwonryu1.local","UDP"
"101","i.ytimg.com","172.217.25.246","sungwonryu1.local","TCP"
"123","i.ytimg.com","172.217.25.246","sungwonryu1.local","TCP"
"129","i.ytimg.com","172.217.25.246","sungwonryu1.local","TCP"
"142","i.ytimg.com","172.217.25.246","sungwonryu1.local","TLSv1.2"
"155","pagead.l.doubleclick.net","172.217.174.98","sungwonryu1.local","TCP"
"163","i.ytimg.com","172.217.25.246","sungwonryu1.local","TCP"
"171","pagead.l.doubleclick.net","172.217.174.98","sungwonryu1.local","TCP"
"173","pagead.l.doubleclick.net","172.217.174.98","sungwonryu1.local","TCP"
"175","youtube-ui.l.google.com","172.217.161.46","sungwonryu1.local","UDP"
"177","youtube-ui.l.google.com","172.217.161.46","sungwonryu1.local","UDP"
"179","pagead46.l.doubleclick.net","172.217.24.130","sungwonryu1.local","UDP"
"191","pagead.l.doubleclick.net","172.217.174.98","sungwonryu1.local","TCP"
"193","pagead46.l.doubleclick.net","172.217.24.130","sungwonryu1.local","UDP"
"203","youtube-ui.l.google.com","172.217.161.46","sungwonryu1.local","TCP"
"207","i.ytimg.com","172.217.25.246","sungwonryu1.local","TCP"
"231","pagead46.l.doubleclick.net","172.217.24.130","sungwonryu1.local","UDP"
"233","youtube-ui.l.google.com","172.217.161.46","sungwonryu1.local","TCP"
"235","youtube-ui.l.google.com","172.217.161.46","sungwonryu1.local","TCP"
"237","pagead46.l.doubleclick.net","172.217.24.130","sungwonryu1.local","UDP"
"241","pagead46.l.doubleclick.net","172.217.24.130","sungwonryu1.local","UDP"
"269","youtube-ui.l.google.com","172.217.161.46","sungwonryu1.local","TLSv1.2"
"271","pagead46.l.doubleclick.net","172.217.24.130","sungwonryu1.local","UDP"
"279","i.ytimg.com","172.217.25.246","sungwonryu1.local","TCP"
"289","youtube-ui.l.google.com","172.217.161.46","sungwonryu1.local","TCP"
"297","i.ytimg.com","172.217.25.246","sungwonryu1.local","TLSv1.2"
"299","i.ytimg.com","172.217.25.246","sungwonryu1.local","TCP"
"311","i.ytimg.com","172.217.25.246","sungwonryu1.local","TCP"
"313","i.ytimg.com","172.217.25.246","sungwonryu1.local","TCP"
