"No.","Host","Ip","dst","Protocol"
"1","cache.google.com","59.18.34.207","sungwonryu1.local","TLSv1.2"
"5","cache.google.com","59.18.34.207","sungwonryu1.local","TLSv1.2"
"21","cache.google.com","59.18.34.207","sungwonryu1.local","TLSv1.2"
"25","cache.google.com","59.18.34.207","sungwonryu1.local","TLSv1.2"
"33","cache.google.com","59.18.34.207","sungwonryu1.local","TCP"
"35","cache.google.com","59.18.34.207","sungwonryu1.local","TLSv1.2"
"37","cache.google.com","59.18.34.207","sungwonryu1.local","TLSv1.2"
"57","cache.google.com","59.18.34.207","sungwonryu1.local","TLSv1.2"
"60","cache.google.com","59.18.34.207","sungwonryu1.local","TLSv1.2"
"63","cache.google.com","59.18.34.207","sungwonryu1.local","TLSv1.2"
"72","cache.google.com","59.18.34.207","sungwonryu1.local","TLSv1.2"
"74","cache.google.com","59.18.34.207","sungwonryu1.local","TLSv1.2"
"89","cache.google.com","59.18.34.207","sungwonryu1.local","TCP"
"93","cache.google.com","59.18.34.207","sungwonryu1.local","TLSv1.2"
"103","cache.google.com","59.18.34.207","sungwonryu1.local","TCP"
"107","cache.google.com","59.18.34.207","sungwonryu1.local","TCP"
"126","cache.google.com","59.18.34.207","sungwonryu1.local","TLSv1.2"
"132","cache.google.com","59.18.34.207","sungwonryu1.local","TLSv1.2"
"134","cache.google.com","59.18.34.207","sungwonryu1.local","TCP"
"136","cache.google.com","59.18.34.207","sungwonryu1.local","TLSv1.2"
"155","cache.google.com","59.18.34.207","sungwonryu1.local","TLSv1.2"
"159","cache.google.com","59.18.34.207","sungwonryu1.local","TLSv1.2"
"167","cache.google.com","59.18.34.207","sungwonryu1.local","TLSv1.2"
"169","cache.google.com","59.18.34.207","sungwonryu1.local","TLSv1.2"
"175","cache.google.com","59.18.34.207","sungwonryu1.local","TLSv1.2"
"177","cache.google.com","59.18.34.207","sungwonryu1.local","TCP"
"189","nrt12s14-in-f22.1e100.net","172.217.25.246","sungwonryu1.local","UDP"
"191","nrt12s14-in-f22.1e100.net","172.217.25.246","sungwonryu1.local","UDP"
"195","nrt12s14-in-f22.1e100.net","172.217.25.246","sungwonryu1.local","UDP"
"198","nrt12s14-in-f22.1e100.net","172.217.25.246","sungwonryu1.local","UDP"
"200","nrt12s14-in-f22.1e100.net","172.217.25.246","sungwonryu1.local","UDP"
"204","nrt12s14-in-f22.1e100.net","172.217.25.246","sungwonryu1.local","UDP"
"221","nrt12s14-in-f22.1e100.net","172.217.25.246","sungwonryu1.local","UDP"
"225","cache.google.com","59.18.34.207","sungwonryu1.local","TLSv1.2"
"227","cache.google.com","59.18.34.207","sungwonryu1.local","TCP"
"237","nrt12s14-in-f22.1e100.net","172.217.25.246","sungwonryu1.local","UDP"
"241","cache.google.com","59.18.34.207","sungwonryu1.local","TLSv1.2"
"243","nrt12s14-in-f22.1e100.net","172.217.25.246","sungwonryu1.local","UDP"
"247","nrt12s14-in-f22.1e100.net","172.217.25.246","sungwonryu1.local","UDP"
"249","cache.google.com","59.18.34.207","sungwonryu1.local","TLSv1.2"
"261","nrt12s14-in-f22.1e100.net","172.217.25.246","sungwonryu1.local","UDP"
"263","nrt12s14-in-f22.1e100.net","172.217.25.246","sungwonryu1.local","UDP"
"265","nrt12s14-in-f22.1e100.net","172.217.25.246","sungwonryu1.local","UDP"
"267","cache.google.com","59.18.34.207","sungwonryu1.local","TLSv1.2"
"269","nrt12s14-in-f22.1e100.net","172.217.25.246","sungwonryu1.local","UDP"
"271","nrt12s14-in-f22.1e100.net","172.217.25.246","sungwonryu1.local","UDP"
"273","cache.google.com","59.18.34.207","sungwonryu1.local","TCP"
"299","cache.google.com","59.18.34.207","sungwonryu1.local","TCP"
"303","nrt12s14-in-f22.1e100.net","172.217.25.246","sungwonryu1.local","UDP"
"307","nrt12s14-in-f22.1e100.net","172.217.25.246","sungwonryu1.local","UDP"
"309","nrt12s14-in-f22.1e100.net","172.217.25.246","sungwonryu1.local","UDP"
"315","cache.google.com","59.18.34.207","sungwonryu1.local","TLSv1.2"
"318","nrt12s14-in-f22.1e100.net","172.217.25.246","sungwonryu1.local","UDP"
"321","nrt12s14-in-f22.1e100.net","172.217.25.246","sungwonryu1.local","UDP"
"324","nrt12s14-in-f22.1e100.net","172.217.25.246","sungwonryu1.local","UDP"
