"No.","Host","Ip","dst","Protocol"
"164","14.32.69.19","14.32.69.19","sungwonryu1","TCP"
"173","14.32.69.19","14.32.69.19","sungwonryu1","TCP"
"175","14.32.69.19","14.32.69.19","sungwonryu1","TCP"
"180","ms6hc3m8vc.execute-api.us-west-2.amazonaws.com","54.201.1.129","sungwonryu1","TCP"
"182","14.32.69.19","14.32.69.19","sungwonryu1","TCP"
"198","14.32.69.19","14.32.69.19","sungwonryu1","TCP"
"202","api2.userhabit.io","52.193.78.93","sungwonryu1","TCP"
"208","api2.userhabit.io","52.193.78.93","sungwonryu1","TCP"
"210","api2.userhabit.io","52.193.78.93","sungwonryu1","TLSv1.2"
"214","api2.userhabit.io","52.193.78.93","sungwonryu1","TCP"
"216","api2.userhabit.io","52.193.78.93","sungwonryu1","TCP"
"218","api2.userhabit.io","52.193.78.93","sungwonryu1","TLSv1.2"
"220","ms6hc3m8vc.execute-api.us-west-2.amazonaws.com","54.201.1.129","sungwonryu1","TCP"
"222","ms6hc3m8vc.execute-api.us-west-2.amazonaws.com","54.201.1.129","sungwonryu1","TLSv1.2"
"224","ms6hc3m8vc.execute-api.us-west-2.amazonaws.com","54.201.1.129","sungwonryu1","TCP"
"226","ms6hc3m8vc.execute-api.us-west-2.amazonaws.com","54.201.1.129","sungwonryu1","TCP"
"228","ms6hc3m8vc.execute-api.us-west-2.amazonaws.com","54.201.1.129","sungwonryu1","TLSv1.2"
"248","api2.userhabit.io","52.193.78.93","sungwonryu1","TCP"
"258","api2.userhabit.io","52.193.78.93","sungwonryu1","TLSv1.2"
"266","api2.userhabit.io","52.193.78.93","sungwonryu1","TCP"
"268","api2.userhabit.io","52.193.78.93","sungwonryu1","TLSv1.2"
"270","ms6hc3m8vc.execute-api.us-west-2.amazonaws.com","54.201.1.129","sungwonryu1","TLSv1.2"
"284","s3-ap-northeast-1.amazonaws.com","52.219.136.34","sungwonryu1","TCP"
"290","s3-ap-northeast-1.amazonaws.com","52.219.136.34","sungwonryu1","TCP"
"292","s3-ap-northeast-1.amazonaws.com","52.219.136.34","sungwonryu1","TLSv1.2"
"294","s3-ap-northeast-1.amazonaws.com","52.219.136.34","sungwonryu1","TCP"
"296","s3-ap-northeast-1.amazonaws.com","52.219.136.34","sungwonryu1","TCP"
