"No.","Host","Ip","dst","Protocol"
"1","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"3","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"7","14.63.159.129","14.63.159.129","sungwonryu1","TCP"
"9","14.63.159.129","14.63.159.129","sungwonryu1","TCP"
"11","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"13","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"15","14.63.159.129","14.63.159.129","sungwonryu1","TCP"
"17","14.63.159.129","14.63.159.129","sungwonryu1","TCP"
"19","14.63.159.129","14.63.159.129","sungwonryu1","TCP"
"21","14.63.159.129","14.63.159.129","sungwonryu1","TCP"
"23","211.252.121.68","211.252.121.68","sungwonryu1","TLSv1.2"
"25","211.252.121.68","211.252.121.68","sungwonryu1","TCP"
"27","14.63.159.129","14.63.159.129","sungwonryu1","TCP"
"43","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"45","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"47","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"49","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"51","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"53","14.63.159.129","14.63.159.129","sungwonryu1","TCP"
"55","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"57","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"59","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"61","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"63","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"65","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"67","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"69","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"71","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"73","14.63.159.129","14.63.159.129","sungwonryu1","TCP"
"75","14.63.159.129","14.63.159.129","sungwonryu1","TCP"
"77","14.63.159.129","14.63.159.129","sungwonryu1","TCP"
"79","14.63.159.129","14.63.159.129","sungwonryu1","TCP"
"81","14.63.159.129","14.63.159.129","sungwonryu1","TCP"
"83","14.63.159.129","14.63.159.129","sungwonryu1","TCP"
"85","14.63.159.129","14.63.159.129","sungwonryu1","TCP"
"87","14.63.159.129","14.63.159.129","sungwonryu1","TCP"
"89","14.63.159.129","14.63.159.129","sungwonryu1","TCP"
"91","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"93","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"95","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"97","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"99","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"101","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"103","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"105","14.63.159.129","14.63.159.129","sungwonryu1","TCP"
"107","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"109","14.63.159.129","14.63.159.129","sungwonryu1","TCP"
"111","14.63.159.129","14.63.159.129","sungwonryu1","TCP"
"113","14.63.159.129","14.63.159.129","sungwonryu1","TCP"
"115","14.63.159.129","14.63.159.129","sungwonryu1","TCP"
"117","14.63.159.129","14.63.159.129","sungwonryu1","TCP"
"119","14.63.159.129","14.63.159.129","sungwonryu1","TCP"
"121","14.63.159.129","14.63.159.129","sungwonryu1","TCP"
"123","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"125","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"127","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"129","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"131","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
"133","14.63.159.129","14.63.159.129","sungwonryu1","TLSv1.2"
