"No.","Host","Ip","dst","Protocol"
"1","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"3","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"5","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"7","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"9","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"11","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"13","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"15","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"17","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"19","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"21","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"23","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"25","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"27","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"29","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"31","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"33","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"35","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"37","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"39","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"41","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"87","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"89","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"91","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"96","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"98","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"100","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"102","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"104","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"106","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"108","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"110","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"112","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"114","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
"116","220.73.213.4","220.73.213.4","sungwonryu1","TCP"
