"No.","Host","Ip","dst","Protocol"
"1","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"5","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"7","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TLSv1.2"
"9","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"11","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"13","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TLSv1.2"
"15","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"19","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"21","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TLSv1.2"
"23","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"25","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TLSv1.2"
"27","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"29","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"31","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"33","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"35","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"37","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"39","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"47","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"49","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"51","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"65","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"67","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TLSv1.2"
"69","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"71","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"73","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"75","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"77","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"83","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"89","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"91","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"93","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"97","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"99","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TLSv1.2"
"101","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"103","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"105","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"111","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"113","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"115","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"117","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"121","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"127","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"129","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"133","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"135","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TLSv1.2"
"137","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"141","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"143","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"145","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"147","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"149","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"151","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"157","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"163","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"165","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TLSv1.2"
"167","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"173","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"175","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"177","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"179","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"181","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"183","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"189","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"193","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
"195","livecloud.pstatic.net.live.gscdn.net","183.110.216.4","sungwonryu1","TCP"
