"No.","Host","Ip","dst","Protocol"
"63","kr-lcs.naver.com.akadns.net","210.89.172.40","sungwonryu1","TCP"
"65","kr.global.apis.naver.com.akadns.net","210.89.168.207","sungwonryu1","TCP"
"199","kr-lcs.naver.com.akadns.net","210.89.172.40","sungwonryu1","TLSv1.2"
"201","kr-lcs.naver.com.akadns.net","210.89.172.40","sungwonryu1","TCP"
"203","kr-lcs.naver.com.akadns.net","210.89.172.40","sungwonryu1","TCP"
"205","kr-lcs.naver.com.akadns.net","210.89.172.40","sungwonryu1","TCP"
"207","kr-lcs.naver.com.akadns.net","210.89.172.40","sungwonryu1","TLSv1.2"
"209","kr.global.apis.naver.com.akadns.net","210.89.168.207","sungwonryu1","TLSv1.2"
"211","kr.global.apis.naver.com.akadns.net","210.89.168.207","sungwonryu1","TCP"
"213","kr.global.apis.naver.com.akadns.net","210.89.168.207","sungwonryu1","TLSv1.2"
"217","kr-lcs.naver.com.akadns.net","210.89.172.40","sungwonryu1","TCP"
"219","kr.global.apis.naver.com.akadns.net","210.89.168.207","sungwonryu1","TCP"
"223","kr-lcs.naver.com.akadns.net","210.89.172.40","sungwonryu1","TCP"
"225","kr.global.apis.naver.com.akadns.net","210.89.168.207","sungwonryu1","TCP"
"272","kr-lcs.naver.com.akadns.net","210.89.172.40","sungwonryu1","TLSv1.2"
"274","kr.global.apis.naver.com.akadns.net","210.89.168.207","sungwonryu1","TLSv1.2"
"276","kr-lcs.naver.com.akadns.net","210.89.172.40","sungwonryu1","TCP"
"278","kr.global.apis.naver.com.akadns.net","210.89.168.207","sungwonryu1","TCP"
"290","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"294","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"296","kr-lcs.naver.com.akadns.net","210.89.172.40","sungwonryu1","TLSv1.2"
"298","kr-lcs.naver.com.akadns.net","210.89.172.40","sungwonryu1","TLSv1.2"
"300","kr-lcs.naver.com.akadns.net","210.89.172.40","sungwonryu1","TCP"
"302","kr.global.apis.naver.com.akadns.net","210.89.168.207","sungwonryu1","TLSv1.2"
"338","kr-lcs.naver.com.akadns.net","210.89.172.40","sungwonryu1","TCP"
"344","kr-lcs.naver.com.akadns.net","210.89.172.40","sungwonryu1","TCP"
"346","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"348","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"350","kr.nid.naver.com.akadns.net","210.89.164.56","sungwonryu1","TCP"
"378","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"382","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"384","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"386","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"388","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"390","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"392","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"394","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"396","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"398","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"400","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"402","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"404","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"406","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"408","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"410","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"412","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
