"No.","Host","Ip","dst","Protocol"
"31","125.209.230.234","125.209.230.234","sungwonryu1","TCP"
"33","210.89.167.4","210.89.167.4","sungwonryu1","TCP"
"35","125.209.230.234","125.209.230.234","sungwonryu1","TCP"
"49","125.209.230.234","125.209.230.234","sungwonryu1","HTTP"
"51","125.209.230.234","125.209.230.234","sungwonryu1","TCP"
"53","125.209.230.234","125.209.230.234","sungwonryu1","HTTP"
"55","125.209.230.234","125.209.230.234","sungwonryu1","TCP"
"57","210.89.167.4","210.89.167.4","sungwonryu1","TLSv1.2"
"59","210.89.167.4","210.89.167.4","sungwonryu1","TCP"
"61","210.89.167.4","210.89.167.4","sungwonryu1","TLSv1.2"
"63","210.89.167.4","210.89.167.4","sungwonryu1","TCP"
"65","125.209.230.234","125.209.230.234","sungwonryu1","TCP"
"67","125.209.230.234","125.209.230.234","sungwonryu1","TCP"
"93","125.209.230.234","125.209.230.234","sungwonryu1","TCP"
"95","125.209.230.234","125.209.230.234","sungwonryu1","TCP"
"99","210.89.167.4","210.89.167.4","sungwonryu1","TLSv1.2"
"101","210.89.167.4","210.89.167.4","sungwonryu1","TLSv1.2"
"105","210.89.167.4","210.89.167.4","sungwonryu1","TLSv1.2"
"107","210.89.167.4","210.89.167.4","sungwonryu1","TLSv1.2"
"115","210.89.167.4","210.89.167.4","sungwonryu1","TCP"
"125","210.89.167.4","210.89.167.4","sungwonryu1","TCP"
"133","210.89.167.4","210.89.167.4","sungwonryu1","TCP"
"135","210.89.167.4","210.89.167.4","sungwonryu1","TCP"
"137","210.89.167.4","210.89.167.4","sungwonryu1","TCP"
"139","210.89.167.4","210.89.167.4","sungwonryu1","TCP"
"141","210.89.167.4","210.89.167.4","sungwonryu1","TCP"
"143","210.89.167.4","210.89.167.4","sungwonryu1","TLSv1.2"
"145","210.89.167.4","210.89.167.4","sungwonryu1","TCP"
"147","210.89.167.4","210.89.167.4","sungwonryu1","TCP"
"149","210.89.167.4","210.89.167.4","sungwonryu1","TCP"
"151","210.89.167.4","210.89.167.4","sungwonryu1","TCP"
"173","210.89.167.4","210.89.167.4","sungwonryu1","TCP"
"175","210.89.167.4","210.89.167.4","sungwonryu1","TLSv1.2"
"181","210.89.167.4","210.89.167.4","sungwonryu1","TCP"
"183","210.89.167.4","210.89.167.4","sungwonryu1","TCP"
