"No.","Host","Ip","dst","Protocol"
"29","175.158.20.64","175.158.20.64","sungwonryu1","TCP"
"37","175.158.20.64","175.158.20.64","sungwonryu1","HTTP"
"39","175.158.20.64","175.158.20.64","sungwonryu1","TCP"
"41","175.158.20.64","175.158.20.64","sungwonryu1","TCP"
"43","175.158.20.64","175.158.20.64","sungwonryu1","TCP"
"55","175.158.20.64","175.158.20.64","sungwonryu1","HTTP"
"57","175.158.20.64","175.158.20.64","sungwonryu1","TCP"
"59","175.158.20.64","175.158.20.64","sungwonryu1","TCP"
"61","175.158.20.64","175.158.20.64","sungwonryu1","TCP"
"71","175.158.20.64","175.158.20.64","sungwonryu1","TCP"
"73","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"79","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"81","110.93.147.5","110.93.147.5","sungwonryu1","TLSv1.2"
"83","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"85","110.93.147.5","110.93.147.5","sungwonryu1","TLSv1.2"
"87","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"104","125.209.254.208","125.209.254.208","sungwonryu1","TCP"
"106","125.209.254.208","125.209.254.208","sungwonryu1","TCP"
"111","125.209.254.208","125.209.254.208","sungwonryu1","TLSv1.2"
"113","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"139","125.209.254.208","125.209.254.208","sungwonryu1","TCP"
"141","125.209.254.208","125.209.254.208","sungwonryu1","TLSv1.2"
"143","110.93.147.5","110.93.147.5","sungwonryu1","TLSv1.2"
"145","110.93.147.5","110.93.147.5","sungwonryu1","TLSv1.2"
"147","110.93.147.5","110.93.147.5","sungwonryu1","TLSv1.2"
"149","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"151","110.93.147.5","110.93.147.5","sungwonryu1","TLSv1.2"
"153","prod-ni-cic.clova.ai","125.209.229.31","sungwonryu1","TCP"
"155","175.158.20.64","175.158.20.64","sungwonryu1","TCP"
"157","175.158.20.64","175.158.20.64","sungwonryu1","TCP"
"159","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"161","110.93.147.5","110.93.147.5","sungwonryu1","TLSv1.2"
"163","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"205","prod-ni-cic.clova.ai","125.209.229.31","sungwonryu1","TCP"
"213","125.209.254.208","125.209.254.208","sungwonryu1","TCP"
"215","125.209.254.208","125.209.254.208","sungwonryu1","TCP"
"217","125.209.254.208","125.209.254.208","sungwonryu1","TCP"
"219","125.209.254.208","125.209.254.208","sungwonryu1","TCP"
"221","125.209.254.208","125.209.254.208","sungwonryu1","TCP"
"223","125.209.254.208","125.209.254.208","sungwonryu1","TLSv1.2"
"225","125.209.254.208","125.209.254.208","sungwonryu1","TCP"
"227","110.93.147.5","110.93.147.5","sungwonryu1","TLSv1.2"
"229","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"231","175.158.20.64","175.158.20.64","sungwonryu1","HTTP"
"233","175.158.20.64","175.158.20.64","sungwonryu1","TCP"
"235","175.158.20.64","175.158.20.64","sungwonryu1","TCP"
"237","175.158.20.64","175.158.20.64","sungwonryu1","TCP"
"239","125.209.254.208","125.209.254.208","sungwonryu1","TCP"
"241","110.93.147.5","110.93.147.5","sungwonryu1","TLSv1.2"
"243","110.93.147.5","110.93.147.5","sungwonryu1","TLSv1.2"
"245","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"247","175.158.20.64","175.158.20.64","sungwonryu1","HTTP"
"249","175.158.20.64","175.158.20.64","sungwonryu1","TCP"
"251","prod-ni-cic.clova.ai","125.209.229.31","sungwonryu1","TLSv1.2"
"253","prod-ni-cic.clova.ai","125.209.229.31","sungwonryu1","TCP"
"255","prod-ni-cic.clova.ai","125.209.229.31","sungwonryu1","TCP"
"257","prod-ni-cic.clova.ai","125.209.229.31","sungwonryu1","TCP"
"259","prod-ni-cic.clova.ai","125.209.229.31","sungwonryu1","TLSv1.2"
"261","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"263","prod-ni-cic.clova.ai","125.209.229.31","sungwonryu1","TCP"
"265","prod-ni-cic.clova.ai","125.209.229.31","sungwonryu1","TCP"
"267","110.93.147.5","110.93.147.5","sungwonryu1","TLSv1.2"
"269","prod-ni-cic.clova.ai","125.209.229.31","sungwonryu1","TLSv1.2"
"271","prod-ni-cic.clova.ai","125.209.229.31","sungwonryu1","TCP"
"273","prod-ni-cic.clova.ai","125.209.229.31","sungwonryu1","TCP"
"275","prod-ni-cic.clova.ai","125.209.229.31","sungwonryu1","TCP"
"277","prod-ni-cic.clova.ai","125.209.229.31","sungwonryu1","TLSv1.2"
"279","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"281","110.93.147.5","110.93.147.5","sungwonryu1","TLSv1.2"
"283","110.93.147.5","110.93.147.5","sungwonryu1","TLSv1.2"
"285","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"287","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"289","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"291","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"293","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"295","110.93.147.5","110.93.147.5","sungwonryu1","TLSv1.2"
"297","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"299","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"301","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"303","prod-ni-cic.clova.ai","125.209.229.31","sungwonryu1","TCP"
"325","ec2-35-160-70-176.us-west-2.compute.amazonaws.com","35.160.70.176","sungwonryu1","TCP"
"385","125.209.254.208","125.209.254.208","sungwonryu1","TCP"
"387","175.158.20.64","175.158.20.64","sungwonryu1","TCP"
"389","125.209.254.208","125.209.254.208","sungwonryu1","TCP"
"391","125.209.254.208","125.209.254.208","sungwonryu1","TCP"
"393","125.209.254.208","125.209.254.208","sungwonryu1","TCP"
"395","175.158.20.64","175.158.20.64","sungwonryu1","TCP"
"397","175.158.20.64","175.158.20.64","sungwonryu1","TCP"
"399","125.209.254.208","125.209.254.208","sungwonryu1","TCP"
"401","125.209.254.208","125.209.254.208","sungwonryu1","TCP"
"403","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"405","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"407","110.93.147.5","110.93.147.5","sungwonryu1","TLSv1.2"
"409","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"411","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"413","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"415","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"417","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"419","110.93.147.5","110.93.147.5","sungwonryu1","TLSv1.2"
"421","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"423","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"425","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"427","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"429","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"431","110.93.147.5","110.93.147.5","sungwonryu1","TLSv1.2"
"433","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"435","110.93.147.5","110.93.147.5","sungwonryu1","TCP"
"437","110.93.147.5","110.93.147.5","sungwonryu1","TLSv1.2"
