"No.","Host","Ip","dst","Protocol"
"1346","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"1360","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"1362","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"1385","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"1389","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TLSv1.2"
"1392","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"1400","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TLSv1.2"
"1402","kr-lcs.naver.com.akadns.net","210.89.172.40","sungwonryu1","TCP"
"1404","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"1406","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TLSv1.2"
"1408","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"1410","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TLSv1.2"
"1412","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TLSv1.2"
"1418","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"1420","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TLSv1.2"
"1422","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"1424","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"1426","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"1428","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"1430","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"1432","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"1470","kr-ace.naver.com.akadns.net","125.209.230.234","sungwonryu1","TCP"
"1484","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TLSv1.2"
"1486","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TLSv1.2"
"1488","kr-lcs.naver.com.akadns.net","210.89.172.40","sungwonryu1","HTTP"
"1490","kr-lcs.naver.com.akadns.net","210.89.172.40","sungwonryu1","TCP"
"1500","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TLSv1.2"
"1502","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"1511","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TLSv1.2"
"1517","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TLSv1.2"
"1521","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"1530","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TLSv1.2"
"1532","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TLSv1.2"
"1536","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"1544","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TLSv1.2"
"1546","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TLSv1.2"
"1552","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"1560","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TLSv1.2"
"1562","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TLSv1.2"
"1566","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"1570","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TLSv1.2"
"1572","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"1574","kr-lcs.naver.com.akadns.net","210.89.172.40","sungwonryu1","TCP"
"1576","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"1578","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"1580","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"1582","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"1584","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TLSv1.2"
"1586","kr-ace.naver.com.akadns.net","125.209.230.234","sungwonryu1","HTTP"
"1588","kr-ace.naver.com.akadns.net","125.209.230.234","sungwonryu1","TCP"
"1590","kr-ace.naver.com.akadns.net","125.209.230.234","sungwonryu1","TCP"
"1592","kr-lcs.naver.com.akadns.net","210.89.172.40","sungwonryu1","TCP"
"1594","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TLSv1.2"
"1596","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"1598","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"1634","kr.nid.naver.com.akadns.net","125.209.226.33","sungwonryu1","TCP"
"1636","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TLSv1.2"
"1638","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TLSv1.2"
"1646","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TLSv1.2"
"1648","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"1652","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"1660","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TLSv1.2"
"1662","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TLSv1.2"
"1668","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TLSv1.2"
"1670","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"1672","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"1674","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"1676","kr-ace.naver.com.akadns.net","125.209.230.234","sungwonryu1","TCP"
"1688","kr.nid.naver.com.akadns.net","125.209.226.33","sungwonryu1","TLSv1.2"
"1692","kr.nid.naver.com.akadns.net","125.209.226.33","sungwonryu1","TLSv1.2"
"1694","kr.nid.naver.com.akadns.net","125.209.226.33","sungwonryu1","TLSv1.2"
"1696","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TLSv1.2"
"1704","kr.nid.naver.com.akadns.net","125.209.226.33","sungwonryu1","TCP"
"1706","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TLSv1.2"
"1710","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"1714","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"1718","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TCP"
"1720","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TLSv1.2"
"1722","kr.apis.naver.com.akadns.net","110.93.147.5","sungwonryu1","TLSv1.2"
