"No.","Host","Ip","dst","Protocol"
"29","125.209.230.234","125.209.230.234","sungwonryu1","TCP"
"35","125.209.230.234","125.209.230.234","sungwonryu1","HTTP"
"37","125.209.230.234","125.209.230.234","sungwonryu1","TCP"
"39","125.209.230.234","125.209.230.234","sungwonryu1","TCP"
"47","125.209.230.234","125.209.230.234","sungwonryu1","TCP"
"60","125.209.230.234","125.209.230.234","sungwonryu1","TCP"
"69","125.209.230.234","125.209.230.234","sungwonryu1","HTTP"
"71","125.209.230.234","125.209.230.234","sungwonryu1","TCP"
"73","125.209.230.234","125.209.230.234","sungwonryu1","TCP"
"87","125.209.230.234","125.209.230.234","sungwonryu1","HTTP"
"89","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"91","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"93","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"95","125.209.230.234","125.209.230.234","sungwonryu1","TCP"
"113","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"115","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"117","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"119","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"121","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"123","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"125","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"127","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"129","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"131","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"133","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"135","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"137","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"139","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"141","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"143","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"145","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"147","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"149","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"151","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"153","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"155","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"157","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"159","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"161","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"163","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"165","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"167","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"169","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"171","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"173","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"175","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"177","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"239","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"243","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
"245","subwaymeta.map.naver.net","125.209.226.175","sungwonryu1","TCP"
