"No.","Host","Ip","dst","Protocol"
"39","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"43","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"59","211.249.216.7","211.249.216.7","sungwonryu1","TCP"
"195","211.249.216.6","211.249.216.6","sungwonryu1","TLSv1.2"
"197","211.249.216.6","211.249.216.6","sungwonryu1","TLSv1.2"
"199","211.249.216.6","211.249.216.6","sungwonryu1","TCP"
"225","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"299","121.53.216.30","121.53.216.30","sungwonryu1","TLSv1.2"
"320","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"335","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"356","211.249.216.7","211.249.216.7","sungwonryu1","TCP"
"397","121.53.216.30","121.53.216.30","sungwonryu1","SSL"
"399","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"401","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"403","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"405","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"407","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"409","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"411","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"413","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"415","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"417","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"420","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"422","121.53.216.30","121.53.216.30","sungwonryu1","TLSv1.2"
"424","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"426","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"428","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"430","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"432","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"434","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"436","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"438","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"440","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"442","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"444","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"446","121.53.216.30","121.53.216.30","sungwonryu1","TLSv1.2"
"683","211.249.216.6","211.249.216.6","sungwonryu1","TCP"
"719","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"726","211.249.216.6","211.249.216.6","sungwonryu1","TCP"
"779","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"782","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"886","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"950","211.249.216.7","211.249.216.7","sungwonryu1","TCP"
"982","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"984","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"986","211.249.216.6","211.249.216.6","sungwonryu1","TCP"
"1010","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1012","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1018","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1022","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1024","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1026","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1028","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1038","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1040","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1046","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1050","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1052","121.53.216.30","121.53.216.30","sungwonryu1","TLSv1.2"
"1054","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1056","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1094","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1096","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1098","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1100","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1143","nrt12s22-in-f10.1e100.net","172.217.31.170","sungwonryu1","TCP"
"1170","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"1313","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"1402","nrt12s22-in-f10.1e100.net","172.217.31.170","sungwonryu1","TCP"
"1429","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"1431","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"1443","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1449","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1456","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1458","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1460","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1468","121.53.216.30","121.53.216.30","sungwonryu1","TLSv1.2"
"1470","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1474","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1480","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1482","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1492","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1494","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1501","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1509","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1514","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1518","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1520","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1522","121.53.216.30","121.53.216.30","sungwonryu1","TLSv1.2"
"1565","nrt12s22-in-f10.1e100.net","172.217.31.170","sungwonryu1","TCP"
"1629","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"1676","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1678","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1682","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1684","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1695","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1697","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1699","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1701","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1703","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1705","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1710","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1712","121.53.216.30","121.53.216.30","sungwonryu1","TLSv1.2"
"1717","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1719","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1721","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1723","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1728","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1730","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1732","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1734","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1739","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1741","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1767","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"1960","121.53.216.30","121.53.216.30","sungwonryu1","TLSv1.2"
"1962","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1969","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1971","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1979","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
"1981","121.53.216.30","121.53.216.30","sungwonryu1","TCP"
