"No.","Host","Ip","dst","Protocol"
"1","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"5","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"29","211.249.216.7","211.249.216.7","sungwonryu1","TCP"
"31","211.249.216.7","211.249.216.7","sungwonryu1","TCP"
"37","211.249.216.7","211.249.216.7","sungwonryu1","TCP"
"39","211.249.216.7","211.249.216.7","sungwonryu1","TCP"
"48","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TCP"
"52","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TCP"
"71","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"82","121.53.216.13","121.53.216.13","sungwonryu1","TLSv1.2"
"84","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"86","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"90","121.53.216.13","121.53.216.13","sungwonryu1","TLSv1.2"
"92","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"106","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TCP"
"108","211.249.216.11","211.249.216.11","sungwonryu1","TCP"
"119","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"125","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TCP"
"127","121.53.216.13","121.53.216.13","sungwonryu1","TLSv1.2"
"131","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TCP"
"133","211.249.216.11","211.249.216.11","sungwonryu1","TLSv1.2"
"135","211.249.216.11","211.249.216.11","sungwonryu1","TCP"
"137","211.249.216.11","211.249.216.11","sungwonryu1","TCP"
"139","211.249.216.11","211.249.216.11","sungwonryu1","TLSv1.2"
"141","211.249.216.11","211.249.216.11","sungwonryu1","TCP"
"143","211.249.216.10","211.249.216.10","sungwonryu1","TLSv1.2"
"145","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"165","121.53.216.13","121.53.216.13","sungwonryu1","TLSv1.2"
"167","121.53.216.13","121.53.216.13","sungwonryu1","TLSv1.2"
"169","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"171","211.249.216.11","211.249.216.11","sungwonryu1","TCP"
"173","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TLSv1.2"
"175","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TCP"
"177","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TCP"
"179","211.249.216.11","211.249.216.11","sungwonryu1","TLSv1.2"
"181","211.249.216.11","211.249.216.11","sungwonryu1","TLSv1.2"
"183","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TLSv1.2"
"185","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TCP"
"188","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"190","211.249.216.11","211.249.216.11","sungwonryu1","TCP"
"218","211.249.216.10","211.249.216.10","sungwonryu1","TLSv1.2"
"220","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TCP"
"240","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TCP"
"242","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TCP"
"244","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"246","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"248","211.249.216.11","211.249.216.11","sungwonryu1","TLSv1.2"
"250","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TCP"
"252","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TLSv1.2"
"254","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"256","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TCP"
"258","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"260","211.249.216.11","211.249.216.11","sungwonryu1","TLSv1.2"
"262","211.249.216.11","211.249.216.11","sungwonryu1","TCP"
"264","211.249.216.11","211.249.216.11","sungwonryu1","TLSv1.2"
"283","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TCP"
"294","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TCP"
"296","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TCP"
"298","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TCP"
"300","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TLSv1.2"
"302","211.249.216.10","211.249.216.10","sungwonryu1","TLSv1.2"
"304","211.249.216.10","211.249.216.10","sungwonryu1","TLSv1.2"
"306","211.249.216.10","211.249.216.10","sungwonryu1","TLSv1.2"
