"No.","Host","Ip","dst","Protocol"
"33","log.melon.com","121.53.216.13","sungwonryu1","TCP"
"39","log.melon.com","121.53.216.13","sungwonryu1","TLSv1.2"
"41","log.melon.com","121.53.216.13","sungwonryu1","TCP"
"43","log.melon.com","121.53.216.13","sungwonryu1","TCP"
"45","log.melon.com","121.53.216.13","sungwonryu1","TLSv1.2"
"55","log.melon.com","121.53.216.13","sungwonryu1","TCP"
"61","log.melon.com","121.53.216.13","sungwonryu1","TLSv1.2"
"65","log.melon.com","121.53.216.13","sungwonryu1","TLSv1.2"
"67","log.melon.com","121.53.216.13","sungwonryu1","TLSv1.2"
"69","log.melon.com","121.53.216.13","sungwonryu1","TCP"
"71","log.melon.com","121.53.216.13","sungwonryu1","TCP"
"79","log.melon.com","121.53.216.13","sungwonryu1","TCP"
"81","log.melon.com","121.53.216.13","sungwonryu1","TCP"
"86","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"102","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"106","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"117","211.249.216.11","211.249.216.11","sungwonryu1","TCP"
"123","211.249.216.11","211.249.216.11","sungwonryu1","TLSv1.2"
"125","211.249.216.11","211.249.216.11","sungwonryu1","TCP"
"129","211.249.216.11","211.249.216.11","sungwonryu1","TCP"
"131","211.249.216.11","211.249.216.11","sungwonryu1","TLSv1.2"
"133","211.249.216.11","211.249.216.11","sungwonryu1","TCP"
"145","211.249.216.11","211.249.216.11","sungwonryu1","TLSv1.2"
"147","211.249.216.11","211.249.216.11","sungwonryu1","TLSv1.2"
"153","211.249.216.11","211.249.216.11","sungwonryu1","TLSv1.2"
"157","211.249.216.11","211.249.216.11","sungwonryu1","TLSv1.2"
"159","211.249.216.11","211.249.216.11","sungwonryu1","TLSv1.2"
"171","211.249.216.11","211.249.216.11","sungwonryu1","TCP"
"175","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"177","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"179","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"181","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
