"No.","Host","Ip","dst","Protocol"
"5","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"11","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"13","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"15","121.53.216.13","121.53.216.13","sungwonryu1","TLSv1.2"
"17","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"19","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"21","121.53.216.13","121.53.216.13","sungwonryu1","TLSv1.2"
"37","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"39","121.53.216.13","121.53.216.13","sungwonryu1","TLSv1.2"
"41","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"43","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"45","121.53.216.13","121.53.216.13","sungwonryu1","TLSv1.2"
"51","121.53.216.13","121.53.216.13","sungwonryu1","TLSv1.2"
"61","121.53.216.13","121.53.216.13","sungwonryu1","TLSv1.2"
"63","121.53.216.13","121.53.216.13","sungwonryu1","TLSv1.2"
"65","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"71","121.53.216.13","121.53.216.13","sungwonryu1","TLSv1.2"
"75","121.53.216.13","121.53.216.13","sungwonryu1","TLSv1.2"
"77","121.53.216.13","121.53.216.13","sungwonryu1","TLSv1.2"
"79","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"85","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"89","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"91","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"117","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"119","121.53.216.33","121.53.216.33","sungwonryu1","TLSv1.2"
"121","121.53.216.33","121.53.216.33","sungwonryu1","TLSv1.2"
"123","121.53.216.33","121.53.216.33","sungwonryu1","TLSv1.2"
"133","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"137","121.53.216.33","121.53.216.33","sungwonryu1","TLSv1.2"
"139","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"141","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"143","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"145","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"149","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"151","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"153","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"169","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"173","121.53.216.33","121.53.216.33","sungwonryu1","TLSv1.2"
"175","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"177","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"179","121.53.216.33","121.53.216.33","sungwonryu1","TLSv1.2"
"181","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"195","121.53.216.33","121.53.216.33","sungwonryu1","TLSv1.2"
"199","121.53.216.33","121.53.216.33","sungwonryu1","TLSv1.2"
"201","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"221","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"227","121.53.216.13","121.53.216.13","sungwonryu1","TLSv1.2"
"229","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"231","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"233","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"235","121.53.216.13","121.53.216.13","sungwonryu1","TLSv1.2"
"251","121.53.216.13","121.53.216.13","sungwonryu1","TLSv1.2"
"255","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"261","121.53.216.13","121.53.216.13","sungwonryu1","TLSv1.2"
"263","121.53.216.13","121.53.216.13","sungwonryu1","TLSv1.2"
"265","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"271","121.53.216.13","121.53.216.13","sungwonryu1","TLSv1.2"
"273","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"275","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"277","121.53.216.13","121.53.216.13","sungwonryu1","TLSv1.2"
"279","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"281","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"283","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"285","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"287","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
