"No.","Host","Ip","dst","Protocol"
"5","121.53.216.33","121.53.216.33","sungwonryu1","TLSv1.2"
"43","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"45","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"47","121.53.216.33","121.53.216.33","sungwonryu1","TLSv1.2"
"55","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"57","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"59","121.53.216.33","121.53.216.33","sungwonryu1","TLSv1.2"
"69","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"71","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"73","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"75","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"77","121.53.216.33","121.53.216.33","sungwonryu1","TLSv1.2"
"79","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"83","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"85","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"87","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"89","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"91","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"93","121.53.216.33","121.53.216.33","sungwonryu1","TLSv1.2"
"99","211.249.216.7","211.249.216.7","sungwonryu1","TCP"
"101","211.249.216.7","211.249.216.7","sungwonryu1","TCP"
"103","211.249.216.7","211.249.216.7","sungwonryu1","TCP"
"105","211.249.216.7","211.249.216.7","sungwonryu1","TCP"
"107","211.249.216.7","211.249.216.7","sungwonryu1","TLSv1.2"
"143","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"145","121.53.216.33","121.53.216.33","sungwonryu1","TCP"
"155","211.249.216.7","211.249.216.7","sungwonryu1","TCP"
"159","211.249.216.7","211.249.216.7","sungwonryu1","TCP"
"163","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
