"No.","Host","Ip","dst","Protocol"
"5876","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"5890","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"6284","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TLSv1.2"
"6286","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"6288","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TLSv1.2"
"6293","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"6307","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TLSv1.2"
"6309","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"6311","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TLSv1.2"
"6318","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"6377","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"6383","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"6385","banner.melon.com","211.249.216.10","sungwonryu1","TCP"
"6387","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"6389","log.melon.com","121.53.216.13","sungwonryu1","TCP"
"6391","banner.melon.com","211.249.216.10","sungwonryu1","TCP"
"6400","nrt20s20-in-f14.1e100.net","172.217.175.78","sungwonryu1","TCP"
"6404","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"6424","banner.melon.com","211.249.216.10","sungwonryu1","TCP"
"6447","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TCP"
"6456","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TCP"
"6481","nrt20s20-in-f14.1e100.net","172.217.175.78","sungwonryu1","TCP"
"6551","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"6572","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"6611","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"6615","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"6617","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"6619","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"6629","nrt20s20-in-f14.1e100.net","172.217.175.78","sungwonryu1","TCP"
"6636","log.melon.com","121.53.216.13","sungwonryu1","TCP"
"6640","banner.melon.com","211.249.216.10","sungwonryu1","TCP"
"6642","banner.melon.com","211.249.216.10","sungwonryu1","TCP"
"6644","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"6666","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"6673","banner.melon.com","211.249.216.10","sungwonryu1","TCP"
"6677","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"6688","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TCP"
"6695","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TCP"
"6756","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"6760","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"6762","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TLSv1.2"
"6764","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"6766","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"6768","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TLSv1.2"
"6770","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"6772","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"6774","banner.melon.com","211.249.216.10","sungwonryu1","TCP"
"6776","banner.melon.com","211.249.216.10","sungwonryu1","TLSv1.2"
"6778","banner.melon.com","211.249.216.10","sungwonryu1","TCP"
"6780","banner.melon.com","211.249.216.10","sungwonryu1","TCP"
"6782","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TLSv1.2"
"6806","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TLSv1.2"
"6810","banner.melon.com","211.249.216.10","sungwonryu1","TLSv1.2"
"6812","log.melon.com","121.53.216.13","sungwonryu1","TLSv1.2"
"6816","log.melon.com","121.53.216.13","sungwonryu1","TCP"
"6818","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"6820","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"6822","log.melon.com","121.53.216.13","sungwonryu1","TCP"
"6824","log.melon.com","121.53.216.13","sungwonryu1","TCP"
"6834","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TLSv1.2"
"6836","banner.melon.com","211.249.216.10","sungwonryu1","TLSv1.2"
"6840","banner.melon.com","211.249.216.10","sungwonryu1","TCP"
"6848","banner.melon.com","211.249.216.10","sungwonryu1","TCP"
"6850","banner.melon.com","211.249.216.10","sungwonryu1","TLSv1.2"
"6856","banner.melon.com","211.249.216.10","sungwonryu1","TCP"
"6858","banner.melon.com","211.249.216.10","sungwonryu1","TCP"
"6860","log.melon.com","121.53.216.13","sungwonryu1","TLSv1.2"
"6868","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"6872","banner.melon.com","211.249.216.10","sungwonryu1","TLSv1.2"
"6874","banner.melon.com","211.249.216.10","sungwonryu1","TLSv1.2"
"6876","banner.melon.com","211.249.216.10","sungwonryu1","TCP"
"6878","banner.melon.com","211.249.216.10","sungwonryu1","TCP"
"6880","nrt20s20-in-f14.1e100.net","172.217.175.78","sungwonryu1","TCP"
"6886","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TLSv1.2"
"6892","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TCP"
"6894","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TCP"
"6896","cdnimg.melon.co.kr.gtmc.hscdn.com","121.53.216.33","sungwonryu1","TLSv1.2"
"6904","nrt20s20-in-f14.1e100.net","172.217.175.78","sungwonryu1","TLSv1.3"
