"No.","Host","Ip","dst","Protocol"
"16","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"263","smmd.melon.com.gtmc.hscdn.com","211.249.216.17","sungwonryu1","TCP"
"265","smmd.melon.com.gtmc.hscdn.com","211.249.216.17","sungwonryu1","TLSv1.2"
"304","121.53.216.13","121.53.216.13","sungwonryu1","TLSv1.2"
"306","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"308","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"313","121.53.216.13","121.53.216.13","sungwonryu1","TLSv1.2"
"318","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"867","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"921","121.53.216.13","121.53.216.13","sungwonryu1","TLSv1.2"
"1113","121.53.216.13","121.53.216.13","sungwonryu1","TLSv1.2"
"1115","121.53.216.13","121.53.216.13","sungwonryu1","TLSv1.2"
"1117","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"1679","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"1687","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"2002","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"3148","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"3967","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1","TLSv1.2"
"3969","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1","TCP"
"4160","cdnimg.melon.co.kr.gtmc.hscdn.com","211.249.216.7","sungwonryu1","TCP"
"4167","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1","TCP"
"4491","cdnimg.melon.co.kr.gtmc.hscdn.com","211.249.216.7","sungwonryu1","TCP"
"4749","121.53.216.13","121.53.216.13","sungwonryu1","TCP"
"5012","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"5014","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"5033","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"5041","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"5240","spmd.melon.com.gtmc.hscdn.com","121.53.216.30","sungwonryu1","TCP"
"5313","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"5332","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"5363","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"5368","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"5594","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"5596","spmd.melon.com.gtmc.hscdn.com","121.53.216.30","sungwonryu1","TCP"
"6283","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"6291","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"6293","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"6411","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"6413","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"6415","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"6733","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"6735","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"6747","211.249.216.10","211.249.216.10","sungwonryu1","TCP"
"6992","cdnimg.melon.co.kr.gtmc.hscdn.com","211.249.216.7","sungwonryu1","TCP"
"6994","cdnimg.melon.co.kr.gtmc.hscdn.com","211.249.216.7","sungwonryu1","TCP"
"7002","cdnimg.melon.co.kr.gtmc.hscdn.com","211.249.216.7","sungwonryu1","TCP"
"7015","cdnimg.melon.co.kr.gtmc.hscdn.com","211.249.216.7","sungwonryu1","TCP"
"7017","cdnimg.melon.co.kr.gtmc.hscdn.com","211.249.216.7","sungwonryu1","TCP"
"7052","cdnimg.melon.co.kr.gtmc.hscdn.com","211.249.216.7","sungwonryu1","TCP"
"7056","aerodent.canonical.com","91.189.88.142","sungwonryu1","TCP"
"7095","cdnimg.melon.co.kr.gtmc.hscdn.com","211.249.216.7","sungwonryu1","TCP"
"7097","cdnimg.melon.co.kr.gtmc.hscdn.com","211.249.216.7","sungwonryu1","TCP"
"7103","smmd.melon.com.gtmc.hscdn.com","211.249.216.17","sungwonryu1","TCP"
"7205","smmd.melon.com.gtmc.hscdn.com","211.249.216.17","sungwonryu1","TCP"
"9003","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1","TLSv1.2"
"9005","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1","TCP"
"9283","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1","TCP"
"9648","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1","TCP"
