"No.","Host","Ip","dst","Protocol"
"3","kr.apis.naver.com.nheos.com","175.158.20.80","sungwonryu1","HTTP"
"39","kr.apis.naver.com.nheos.com","210.89.168.207","sungwonryu1","TCP"
"45","kr.apis.naver.com.nheos.com","210.89.168.207","sungwonryu1","TCP"
"47","kr.apis.naver.com.nheos.com","210.89.168.207","sungwonryu1","TCP"
"49","kr.apis.naver.com.nheos.com","210.89.168.207","sungwonryu1","TCP"
"51","kr.apis.naver.com.nheos.com","210.89.168.207","sungwonryu1","TCP"
"59","kr.apis.naver.com.nheos.com","210.89.168.207","sungwonryu1","TCP"
"61","kr.apis.naver.com.nheos.com","210.89.168.207","sungwonryu1","TCP"
"67","kr.apis.naver.com.nheos.com","210.89.168.207","sungwonryu1","TCP"
"69","kr.apis.naver.com.nheos.com","210.89.168.207","sungwonryu1","HTTP"
"97","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"99","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"101","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"103","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"105","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"107","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"115","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"117","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"119","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"121","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"125","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"127","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"133","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"143","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"147","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"149","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"151","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"153","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"155","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"157","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"159","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"165","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"169","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"171","a915.w39.akamai.net","23.211.117.33","sungwonryu1","HTTP"
"173","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"175","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"177","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"179","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"181","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"183","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"185","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"187","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"189","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"191","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"193","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"195","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"197","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"199","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"245","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"249","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"251","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"253","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"257","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"265","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"267","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"269","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"275","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"280","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"283","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"285","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"287","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"289","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"301","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
"303","a915.w39.akamai.net","23.211.117.33","sungwonryu1","TCP"
