"No.","Host","Ip","dst","Protocol"
"5","125.209.234.134","125.209.234.134","sungwonryu1","TCP"
"7","nrt20s19-in-f14.1e100.net","172.217.175.46","sungwonryu1","UDP"
"9","nrt20s19-in-f14.1e100.net","172.217.175.46","sungwonryu1","UDP"
"19","nrt20s19-in-f14.1e100.net","172.217.175.46","sungwonryu1","UDP"
"21","125.209.234.134","125.209.234.134","sungwonryu1","TCP"
"23","125.209.234.134","125.209.234.134","sungwonryu1","TLSv1.2"
"25","125.209.234.134","125.209.234.134","sungwonryu1","TCP"
"27","125.209.234.134","125.209.234.134","sungwonryu1","TCP"
"29","125.209.234.134","125.209.234.134","sungwonryu1","TCP"
"31","125.209.234.134","125.209.234.134","sungwonryu1","TCP"
"49","125.209.234.134","125.209.234.134","sungwonryu1","TLSv1.2"
"58","125.209.234.134","125.209.234.134","sungwonryu1","TLSv1.2"
"60","125.209.234.134","125.209.234.134","sungwonryu1","TLSv1.2"
"62","125.209.234.134","125.209.234.134","sungwonryu1","TCP"
"64","125.209.234.134","125.209.234.134","sungwonryu1","TCP"
"66","125.209.234.134","125.209.234.134","sungwonryu1","TCP"
"68","125.209.234.134","125.209.234.134","sungwonryu1","TLSv1.2"
"70","125.209.234.134","125.209.234.134","sungwonryu1","TCP"
"72","125.209.234.134","125.209.234.134","sungwonryu1","TCP"
"90","125.209.234.134","125.209.234.134","sungwonryu1","TCP"
"92","125.209.234.134","125.209.234.134","sungwonryu1","TLSv1.2"
"94","125.209.234.134","125.209.234.134","sungwonryu1","TLSv1.2"
"96","125.209.234.134","125.209.234.134","sungwonryu1","TLSv1.2"
"98","125.209.234.134","125.209.234.134","sungwonryu1","TCP"
"102","125.209.234.134","125.209.234.134","sungwonryu1","TCP"
"104","125.209.234.134","125.209.234.134","sungwonryu1","TLSv1.2"
"106","125.209.234.134","125.209.234.134","sungwonryu1","TLSv1.2"
"108","125.209.234.134","125.209.234.134","sungwonryu1","TLSv1.2"
"110","125.209.234.134","125.209.234.134","sungwonryu1","TCP"
"130","175.158.20.80","175.158.20.80","sungwonryu1","HTTP"
"132","125.209.234.134","125.209.234.134","sungwonryu1","TCP"
"142","125.209.234.134","125.209.234.134","sungwonryu1","TCP"
"144","nrt20s19-in-f14.1e100.net","172.217.175.46","sungwonryu1","UDP"
"146","nrt20s19-in-f14.1e100.net","172.217.175.46","sungwonryu1","UDP"
"158","125.209.234.134","125.209.234.134","sungwonryu1","TLSv1.2"
"162","125.209.234.134","125.209.234.134","sungwonryu1","TCP"
