"No.","Host","Ip","dst","Protocol"
"4","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"6","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"8","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"10","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"12","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"14","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"20","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"22","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"24","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"26","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"28","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"30","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"32","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"34","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"36","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"38","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"40","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"42","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"44","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"46","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"48","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"50","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"52","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"54","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"56","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"58","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"60","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"66","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"68","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"70","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"72","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"74","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"76","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"78","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"80","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"82","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"84","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"86","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"88","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"90","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"92","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"94","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"96","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"98","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"100","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"102","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
"104","globalv.video.p.rmcnmv.naver.com.topo.gscdn.net","61.74.67.90","sungwonryu1","HTTP"
