"No.","Host","Ip","dst","Protocol"
"1","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"3","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"5","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"7","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"9","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"17","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"19","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"21","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"25","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"27","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"29","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"31","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"33","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"35","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"37","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"43","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"47","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"51","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"55","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"57","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"61","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"63","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"67","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"69","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"71","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"73","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"75","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"77","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"79","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"81","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"83","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"85","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"87","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"89","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"91","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"93","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"95","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"97","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"99","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"101","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"103","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"105","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"107","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"109","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"111","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"157","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","HTTP"
"159","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"161","210.89.168.207","210.89.168.207","sungwonryu1","HTTP"
"179","210.89.168.207","210.89.168.207","sungwonryu1","HTTP"
"185","210.89.168.207","210.89.168.207","sungwonryu1","TCP"
"193","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"195","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"199","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"201","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"203","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"207","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"209","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"213","210.89.168.207","210.89.168.207","sungwonryu1","TCP"
"215","210.89.168.207","210.89.168.207","sungwonryu1","HTTP"
"219","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"221","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"223","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"225","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"227","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"233","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"235","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"239","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"241","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"243","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"245","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"251","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"253","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"257","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"259","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"261","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"263","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"265","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"267","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"269","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"271","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"273","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"275","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"277","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"279","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"281","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"283","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"285","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"287","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
"289","a23-211-117-35.deploy.static.akamaitechnologies.com","23.211.117.35","sungwonryu1","TCP"
