"No.","Host","Ip","dst","Protocol"
"105","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"109","server-52-84-189-11.icn54.r.cloudfront.net","52.84.189.11","sungwonryu1","TCP"
"147","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"149","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"151","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"153","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"155","server-52-84-189-11.icn54.r.cloudfront.net","52.84.189.11","sungwonryu1","TCP"
"157","server-52-84-189-11.icn54.r.cloudfront.net","52.84.189.11","sungwonryu1","TLSv1.2"
"159","server-52-84-189-11.icn54.r.cloudfront.net","52.84.189.11","sungwonryu1","TCP"
"165","server-52-84-189-11.icn54.r.cloudfront.net","52.84.189.11","sungwonryu1","TCP"
"167","server-52-84-189-11.icn54.r.cloudfront.net","52.84.189.11","sungwonryu1","TLSv1.2"
"169","server-52-84-189-11.icn54.r.cloudfront.net","52.84.189.11","sungwonryu1","TLSv1.2"
"177","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"181","server-52-84-189-11.icn54.r.cloudfront.net","52.84.189.11","sungwonryu1","TCP"
"243","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"245","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"247","server-52-84-189-11.icn54.r.cloudfront.net","52.84.189.11","sungwonryu1","TLSv1.2"
"255","server-52-84-189-11.icn54.r.cloudfront.net","52.84.189.11","sungwonryu1","TCP"
"263","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"265","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"269","server-52-84-189-11.icn54.r.cloudfront.net","52.84.189.11","sungwonryu1","TCP"
"280","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"282","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"295","server-52-84-189-11.icn54.r.cloudfront.net","52.84.189.11","sungwonryu1","TLSv1.2"
"299","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"301","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"303","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"305","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"327","125.209.234.18","125.209.234.18","sungwonryu1","TCP"
"339","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"341","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"345","125.209.234.18","125.209.234.18","sungwonryu1","THRIFT"
"349","125.209.234.18","125.209.234.18","sungwonryu1","TCP"
"355","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"365","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"367","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"369","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"377","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"381","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"400","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"402","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"404","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"406","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"428","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"438","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"458","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"466","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"468","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"470","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"472","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"492","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"494","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"508","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"512","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"516","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"524","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"526","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"534","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"536","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"538","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","HTTP"
"542","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"556","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"558","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","HTTP"
"618","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"624","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","HTTP"
"628","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"639","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"641","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"647","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"653","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"655","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"667","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"669","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"675","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","HTTP"
"679","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","HTTP"
"687","125.209.234.18","125.209.234.18","sungwonryu1","TCP"
"693","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","HTTP"
"711","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","HTTP"
"719","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","HTTP"
"745","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"747","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"771","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"773","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"783","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"785","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"787","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"789","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"791","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","HTTP"
"793","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"797","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"819","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"821","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"823","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"825","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"827","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
"829","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","HTTP"
"831","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","HTTP"
"833","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","HTTP"
"865","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"875","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TLSv1.2"
"905","server-52-84-189-11.icn54.r.cloudfront.net","52.84.189.11","sungwonryu1","TCP"
"907","server-52-84-189-11.icn54.r.cloudfront.net","52.84.189.11","sungwonryu1","TCP"
"909","server-52-84-189-11.icn54.r.cloudfront.net","52.84.189.11","sungwonryu1","TCP"
"915","server-52-84-189-11.icn54.r.cloudfront.net","52.84.189.11","sungwonryu1","TCP"
"949","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","HTTP"
"963","kr-cc.naver.com.akadns.net","182.162.202.180","sungwonryu1","TCP"
"969","kr-cc.naver.com.akadns.net","182.162.202.180","sungwonryu1","HTTP"
"971","kr-cc.naver.com.akadns.net","182.162.202.180","sungwonryu1","TCP"
"973","kr-cc.naver.com.akadns.net","182.162.202.180","sungwonryu1","TCP"
"981","kr-cc.naver.com.akadns.net","182.162.202.180","sungwonryu1","TCP"
"985","kr.global.apis.naver.com.akadns.net","175.158.20.80","sungwonryu1","TCP"
