"No.","Host","Ip","dst","Protocol"
"1","ec2-52-78-32-204.ap-northeast-2.compute.amazonaws.com","52.78.32.204","sungwonryu1","TCP"
"11","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"13","175.207.88.163","175.207.88.163","sungwonryu1","TCP"
"15","175.207.88.163","175.207.88.163","sungwonryu1","TCP"
"23","175.207.88.163","175.207.88.163","sungwonryu1","TCP"
"27","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"29","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"35","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","HTTP"
"41","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"47","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"51","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"55","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","HTTP"
"67","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"71","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"75","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"77","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"79","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"81","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"87","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"89","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"91","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"93","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"95","log.megatvdnp.co.kr","175.207.88.160","sungwonryu1","TCP"
"105","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"107","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"109","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"111","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"113","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"115","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"117","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"119","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"121","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"123","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"125","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"127","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"129","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"131","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"133","log.megatvdnp.co.kr","175.207.88.160","sungwonryu1","TLSv1.2"
"135","log.megatvdnp.co.kr","175.207.88.160","sungwonryu1","TCP"
"161","log.megatvdnp.co.kr","175.207.88.160","sungwonryu1","TCP"
"167","log.megatvdnp.co.kr","175.207.88.160","sungwonryu1","TCP"
"171","log.megatvdnp.co.kr","175.207.88.160","sungwonryu1","TLSv1.2"
"173","log.megatvdnp.co.kr","175.207.88.160","sungwonryu1","TCP"
"175","log.megatvdnp.co.kr","175.207.88.160","sungwonryu1","TCP"
"211","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"215","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"217","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"223","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"225","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"231","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"233","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"239","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"243","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"245","log.megatvdnp.co.kr","175.207.88.160","sungwonryu1","TCP"
"247","log.megatvdnp.co.kr","175.207.88.160","sungwonryu1","TLSv1.2"
"249","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"257","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"261","log.megatvdnp.co.kr","175.207.88.160","sungwonryu1","TCP"
"263","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"267","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"269","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"273","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"277","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"279","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"281","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"283","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"293","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"295","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"303","log.megatvdnp.co.kr","175.207.88.160","sungwonryu1","TLSv1.2"
"305","log.megatvdnp.co.kr","175.207.88.160","sungwonryu1","TLSv1.2"
"309","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"311","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"313","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"321","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"325","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"327","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"329","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"335","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"337","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"345","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"347","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"349","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"351","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"353","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"355","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"369","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"371","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
"375","otm-clip.macc.skcdn.com","222.239.21.163","sungwonryu1","TCP"
