"No.","Host","Ip","dst","Protocol"
"1","10.42.0.216","10.42.0.216","sungwonryu1.local","DNS"
"2","localhost","127.0.0.1","localhost","DNS"
"4","sungwonryu1.local","58:fb:84:81:5b:46","","ARP"
"5","Galaxy-S9.local","08:ae:d6:1d:cf:71","","ARP"
"6","kt","192.168.1.1","sungwonryu1","DNS"
"7","localhost","127.0.0.53","localhost","DNS"
"8","sungwonryu1.local","10.42.0.1","10.42.0.216","DNS"
"9","10.42.0.216","10.42.0.216","kt-tracker-env.ap-northeast-2.elasticbeanstalk.com","TCP"
"11","kt-tracker-env.ap-northeast-2.elasticbeanstalk.com","13.124.47.213","sungwonryu1","TCP"
"12","kt-tracker-env.ap-northeast-2.elasticbeanstalk.com","13.124.47.213","10.42.0.216","TCP"
"13","10.42.0.216","10.42.0.216","kt-tracker-env.ap-northeast-2.elasticbeanstalk.com","TCP"
"15","10.42.0.216","10.42.0.216","kt-tracker-env.ap-northeast-2.elasticbeanstalk.com","TCP"
"17","10.42.0.216","10.42.0.216","kt-tracker-env.ap-northeast-2.elasticbeanstalk.com","HTTP"
"19","kt-tracker-env.ap-northeast-2.elasticbeanstalk.com","13.124.47.213","sungwonryu1","TCP"
"20","kt-tracker-env.ap-northeast-2.elasticbeanstalk.com","13.124.47.213","10.42.0.216","TCP"
"21","kt-tracker-env.ap-northeast-2.elasticbeanstalk.com","13.124.47.213","sungwonryu1","HTTP"
"22","kt-tracker-env.ap-northeast-2.elasticbeanstalk.com","13.124.47.213","10.42.0.216","HTTP"
"23","10.42.0.216","10.42.0.216","kt-tracker-env.ap-northeast-2.elasticbeanstalk.com","TCP"
"25","10.42.0.216","10.42.0.216","edge-star-shv-01-ssn1.facebook.com","TLSv1.2"
"27","10.42.0.216","10.42.0.216","edge-star-shv-01-ssn1.facebook.com","TCP"
"29","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1","TCP"
"30","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","10.42.0.216","TCP"
"31","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1","TLSv1.2"
"32","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","10.42.0.216","TLSv1.2"
"33","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1","TCP"
"34","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","10.42.0.216","TCP"
"35","10.42.0.216","10.42.0.216","edge-star-shv-01-ssn1.facebook.com","TCP"
"37","10.42.0.216","10.42.0.216","edge-star-shv-01-ssn1.facebook.com","TCP"
"39","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1","TCP"
