"No.","Host","Ip","dst","Protocol"
"1","10.42.0.216","10.42.0.216","175.207.88.163","TCP"
"3","10.42.0.216","10.42.0.216","1.102.114.30","TCP"
"5","10.42.0.216","10.42.0.216","1.102.114.30","TCP"
"7","10.42.0.216","10.42.0.216","1.102.114.30","TCP"
"9","10.42.0.216","10.42.0.216","1.102.114.30","TCP"
"11","10.42.0.216","10.42.0.216","1.102.114.30","TCP"
"13","10.42.0.216","10.42.0.216","1.102.114.30","TCP"
"15","10.42.0.216","10.42.0.216","1.102.114.30","TCP"
"17","10.42.0.216","10.42.0.216","1.102.114.30","TCP"
"19","10.42.0.216","10.42.0.216","1.102.114.30","TCP"
"21","10.42.0.216","10.42.0.216","1.102.114.30","TCP"
"23","10.42.0.216","10.42.0.216","1.102.114.30","TCP"
"25","175.207.88.163","175.207.88.163","sungwonryu1","TCP"
"26","175.207.88.163","175.207.88.163","10.42.0.216","TCP"
"27","1.102.114.30","1.102.114.30","sungwonryu1","TCP"
"28","1.102.114.30","1.102.114.30","10.42.0.216","TCP"
"29","10.42.0.216","10.42.0.216","1.102.114.30","TCP"
"31","1.102.114.30","1.102.114.30","sungwonryu1","TCP"
"32","1.102.114.30","1.102.114.30","10.42.0.216","TCP"
"33","1.102.114.30","1.102.114.30","sungwonryu1","TCP"
"34","1.102.114.30","1.102.114.30","10.42.0.216","TCP"
"35","1.102.114.30","1.102.114.30","sungwonryu1","TCP"
"36","1.102.114.30","1.102.114.30","10.42.0.216","TCP"
"37","1.102.114.30","1.102.114.30","sungwonryu1","TCP"
"38","1.102.114.30","1.102.114.30","10.42.0.216","TCP"
"39","1.102.114.30","1.102.114.30","sungwonryu1","TCP"
"40","1.102.114.30","1.102.114.30","10.42.0.216","TCP"
"41","1.102.114.30","1.102.114.30","sungwonryu1","TCP"
"42","1.102.114.30","1.102.114.30","10.42.0.216","TCP"
"43","1.102.114.30","1.102.114.30","sungwonryu1","TCP"
"44","1.102.114.30","1.102.114.30","10.42.0.216","TCP"
"45","1.102.114.30","1.102.114.30","sungwonryu1","TCP"
"46","1.102.114.30","1.102.114.30","10.42.0.216","TCP"
"47","1.102.114.30","1.102.114.30","sungwonryu1","TCP"
"48","1.102.114.30","1.102.114.30","10.42.0.216","TCP"
"49","1.102.114.30","1.102.114.30","sungwonryu1","TCP"
"50","1.102.114.30","1.102.114.30","10.42.0.216","TCP"
"51","1.102.114.30","1.102.114.30","sungwonryu1","TCP"
"52","1.102.114.30","1.102.114.30","10.42.0.216","TCP"
"53","1.102.114.30","1.102.114.30","sungwonryu1","TCP"
"54","1.102.114.30","1.102.114.30","10.42.0.216","TCP"
"55","10.42.0.216","10.42.0.216","1.102.114.30","TCP"
