"No.","Host","Ip","dst","Protocol"
"3","222.122.121.40","222.122.121.40","sungwonryu1","TCP"
"9","222.122.121.40","222.122.121.40","sungwonryu1","TCP"
"11","222.122.121.40","222.122.121.40","sungwonryu1","TCP"
"18","222.122.121.40","222.122.121.40","sungwonryu1","TCP"
"20","222.122.121.40","222.122.121.40","sungwonryu1","TLSv1.2"
"28","222.122.121.40","222.122.121.40","sungwonryu1","TLSv1.2"
"39","222.122.121.40","222.122.121.40","sungwonryu1","TCP"
"41","222.122.121.40","222.122.121.40","sungwonryu1","TLSv1.2"
"51","222.122.121.40","222.122.121.40","sungwonryu1","TCP"
"53","kt-tracker-env.ap-northeast-2.elasticbeanstalk.com","13.124.160.227","sungwonryu1","TCP"
"61","222.122.121.30","222.122.121.30","sungwonryu1","TCP"
"63","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"65","222.122.121.30","222.122.121.30","sungwonryu1","TCP"
"67","222.122.121.30","222.122.121.30","sungwonryu1","TCP"
"69","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"81","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"85","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"87","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"91","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"93","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"95","kt-tracker-env.ap-northeast-2.elasticbeanstalk.com","13.124.160.227","sungwonryu1","TCP"
"97","kt-tracker-env.ap-northeast-2.elasticbeanstalk.com","13.124.160.227","sungwonryu1","HTTP"
"107","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"111","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"113","222.122.121.30","222.122.121.30","sungwonryu1","TCP"
"119","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"123","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"127","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"129","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"131","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"133","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"143","222.122.121.30","222.122.121.30","sungwonryu1","TCP"
"145","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"147","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"149","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"151","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"159","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"167","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"169","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"171","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"173","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"183","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"185","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"187","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"189","222.122.121.30","222.122.121.30","sungwonryu1","TCP"
"191","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"195","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"205","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"207","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"209","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"211","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"213","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"215","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"231","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"235","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"237","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"239","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"245","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"249","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"253","222.122.121.30","222.122.121.30","sungwonryu1","TCP"
"256","222.122.121.30","222.122.121.30","sungwonryu1","TCP"
"258","222.122.121.30","222.122.121.30","sungwonryu1","TCP"
"260","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"274","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"278","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"280","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"282","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"288","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"290","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"292","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"296","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"299","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"301","222.122.121.30","222.122.121.30","sungwonryu1","HTTP"
"320","events-endpoint-c-394794954.us-east-1.elb.amazonaws.com","54.243.81.127","sungwonryu1","TCP"
"370","events-endpoint-c-394794954.us-east-1.elb.amazonaws.com","54.243.81.127","sungwonryu1","TLSv1.2"
"372","events-endpoint-c-394794954.us-east-1.elb.amazonaws.com","54.243.81.127","sungwonryu1","TCP"
"374","events-endpoint-c-394794954.us-east-1.elb.amazonaws.com","54.243.81.127","sungwonryu1","TCP"
"376","events-endpoint-c-394794954.us-east-1.elb.amazonaws.com","54.243.81.127","sungwonryu1","TLSv1.2"
"378","events-endpoint-c-394794954.us-east-1.elb.amazonaws.com","54.243.81.127","sungwonryu1","TLSv1.2"
"393","events-endpoint-c-394794954.us-east-1.elb.amazonaws.com","54.243.81.127","sungwonryu1","TLSv1.2"
"405","events-endpoint-c-394794954.us-east-1.elb.amazonaws.com","54.243.81.127","sungwonryu1","TLSv1.2"
"407","175.207.88.163","175.207.88.163","sungwonryu1","TCP"
"409","175.207.88.163","175.207.88.163","sungwonryu1","TCP"
"420","175.207.88.163","175.207.88.163","sungwonryu1","TCP"
"422","175.207.88.163","175.207.88.163","sungwonryu1","TCP"
"424","175.207.88.163","175.207.88.163","sungwonryu1","TCP"
"426","175.207.88.163","175.207.88.163","sungwonryu1","TCP"
"434","175.207.88.161","175.207.88.161","sungwonryu1","TLSv1.2"
"436","175.207.88.161","175.207.88.161","sungwonryu1","TCP"
"454","222.122.121.88","222.122.121.88","sungwonryu1","TCP"
"468","222.122.121.88","222.122.121.88","sungwonryu1","TCP"
"470","android.googleapis.com","216.58.220.138","sungwonryu1","TCP"
"476","android.googleapis.com","216.58.220.138","sungwonryu1","TLSv1.3"
"478","android.googleapis.com","216.58.220.138","sungwonryu1","TCP"
"486","222.122.121.88","222.122.121.88","sungwonryu1","TCP"
"488","222.122.121.88","222.122.121.88","sungwonryu1","TCP"
"496","android.googleapis.com","216.58.220.138","sungwonryu1","TCP"
"500","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"506","121.156.46.124","121.156.46.124","sungwonryu1","HTTP"
"508","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"510","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"520","android.googleapis.com","216.58.220.138","sungwonryu1","TCP"
"522","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"528","android.googleapis.com","216.58.220.138","sungwonryu1","TLSv1.3"
"530","android.googleapis.com","216.58.220.138","sungwonryu1","TLSv1.3"
"532","android.googleapis.com","216.58.220.138","sungwonryu1","TLSv1.3"
"534","android.googleapis.com","216.58.220.138","sungwonryu1","TLSv1.3"
"536","121.156.46.124","121.156.46.124","sungwonryu1","HTTP"
"538","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"540","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"560","android.googleapis.com","216.58.220.138","sungwonryu1","TCP"
"570","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"576","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"578","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"580","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"582","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"586","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"588","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"594","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"596","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"598","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"608","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"610","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"620","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"622","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"624","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"626","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"630","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"632","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"634","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"636","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"638","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"654","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"656","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"658","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"660","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
"662","121.156.46.124","121.156.46.124","sungwonryu1","TCP"
