"No.","Host","Ip","dst","Protocol"
"45","crashlytics.l.google.com","172.217.26.3","sungwonryu1","TCP"
"63","auth.navi.kt.com","14.32.69.61","sungwonryu1","TCP"
"73","crashlytics.l.google.com","172.217.26.3","sungwonryu1","TCP"
"87","auth.navi.kt.com","14.32.69.61","sungwonryu1","TCP"
"89","auth.navi.kt.com","14.32.69.61","sungwonryu1","TLSv1.2"
"95","auth.navi.kt.com","14.32.69.61","sungwonryu1","TCP"
"97","auth.navi.kt.com","14.32.69.61","sungwonryu1","TCP"
"99","auth.navi.kt.com","14.32.69.61","sungwonryu1","TCP"
"101","auth.navi.kt.com","14.32.69.61","sungwonryu1","TLSv1.2"
"103","crashlytics.l.google.com","172.217.26.3","sungwonryu1","TLSv1.2"
"105","crashlytics.l.google.com","172.217.26.3","sungwonryu1","TCP"
"107","crashlytics.l.google.com","172.217.26.3","sungwonryu1","TLSv1.2"
"111","auth.navi.kt.com","14.32.69.61","sungwonryu1","TCP"
"117","crashlytics.l.google.com","172.217.26.3","sungwonryu1","TCP"
"174","auth.navi.kt.com","14.32.69.61","sungwonryu1","TLSv1.2"
"177","crashlytics.l.google.com","172.217.26.3","sungwonryu1","TLSv1.2"
"209","auth.navi.kt.com","14.32.69.61","sungwonryu1","TCP"
"211","auth.navi.kt.com","14.32.69.61","sungwonryu1","TCP"
"213","auth.navi.kt.com","14.32.69.61","sungwonryu1","TLSv1.2"
"215","ec2-34-223-156-131.us-west-2.compute.amazonaws.com","34.223.156.131","sungwonryu1","TCP"
"217","crashlytics.l.google.com","172.217.26.3","sungwonryu1","TCP"
"221","crashlytics.l.google.com","172.217.26.3","sungwonryu1","TLSv1.2"
"223","crashlytics.l.google.com","172.217.26.3","sungwonryu1","TLSv1.2"
"225","crashlytics.l.google.com","172.217.26.3","sungwonryu1","TLSv1.2"
"251","auth.navi.kt.com","14.32.69.61","sungwonryu1","TCP"
"275","tile.navi.kt.com","14.32.70.9","sungwonryu1","TCP"
"277","session.navi.kt.com","14.32.69.67","sungwonryu1","TCP"
"279","session.navi.kt.com","14.32.69.67","sungwonryu1","TCP"
"297","session.navi.kt.com","14.32.69.67","sungwonryu1","TLSv1.2"
"299","tile.navi.kt.com","14.32.70.9","sungwonryu1","TCP"
"301","session.navi.kt.com","14.32.69.67","sungwonryu1","TCP"
"305","session.navi.kt.com","14.32.69.67","sungwonryu1","TCP"
"307","session.navi.kt.com","14.32.69.67","sungwonryu1","TCP"
"311","session.navi.kt.com","14.32.69.67","sungwonryu1","TCP"
"313","tile.navi.kt.com","14.32.70.9","sungwonryu1","TLSv1.2"
"317","tile.navi.kt.com","14.32.70.9","sungwonryu1","TCP"
"319","tile.navi.kt.com","14.32.70.9","sungwonryu1","TCP"
"321","tile.navi.kt.com","14.32.70.9","sungwonryu1","TCP"
"323","tile.navi.kt.com","14.32.70.9","sungwonryu1","TLSv1.2"
"325","session.navi.kt.com","14.32.69.67","sungwonryu1","TCP"
"333","session.navi.kt.com","14.32.69.67","sungwonryu1","TLSv1.2"
"335","session.navi.kt.com","14.32.69.67","sungwonryu1","TLSv1.2"
