"No.","Host","Ip","dst","Protocol"
"49","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"60","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"62","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"64","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"66","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"74","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"76","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"78","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"80","14.32.70.9","14.32.70.9","sungwonryu1","TLSv1.2"
"82","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"84","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"86","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"88","14.32.70.9","14.32.70.9","sungwonryu1","TLSv1.2"
"122","14.32.70.9","14.32.70.9","sungwonryu1","TLSv1.2"
"124","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"126","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"128","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"130","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"132","14.32.70.9","14.32.70.9","sungwonryu1","TLSv1.2"
"134","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"136","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"138","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"140","14.32.70.9","14.32.70.9","sungwonryu1","TLSv1.2"
"142","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"144","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"146","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"148","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"150","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"152","14.32.70.9","14.32.70.9","sungwonryu1","TLSv1.2"
"192","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"194","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"196","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"206","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"208","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"218","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"226","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"228","14.32.70.9","14.32.70.9","sungwonryu1","TLSv1.2"
"230","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"232","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"234","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"236","14.32.70.9","14.32.70.9","sungwonryu1","TLSv1.2"
"254","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"256","14.32.70.9","14.32.70.9","sungwonryu1","TLSv1.2"
"266","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"268","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"270","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"272","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"274","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"276","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"278","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"280","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"282","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"284","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"286","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"288","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"290","14.32.70.9","14.32.70.9","sungwonryu1","TLSv1.2"
"292","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"294","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"296","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"298","14.32.70.9","14.32.70.9","sungwonryu1","TLSv1.2"
"300","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"302","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"304","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"306","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"366","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"368","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"374","14.32.70.9","14.32.70.9","sungwonryu1","TLSv1.2"
"376","14.32.70.9","14.32.70.9","sungwonryu1","TLSv1.2"
"384","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"386","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"392","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"396","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"398","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"400","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"402","14.32.70.9","14.32.70.9","sungwonryu1","TLSv1.2"
"404","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"406","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"408","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"410","14.32.70.9","14.32.70.9","sungwonryu1","TLSv1.2"
"412","14.32.70.9","14.32.70.9","sungwonryu1","TLSv1.2"
"436","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"438","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"440","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"442","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"444","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"446","14.32.70.9","14.32.70.9","sungwonryu1","TLSv1.2"
"462","14.32.70.9","14.32.70.9","sungwonryu1","TLSv1.2"
"464","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"466","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"472","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"474","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"476","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"478","14.32.70.9","14.32.70.9","sungwonryu1","TLSv1.2"
"480","14.32.70.9","14.32.70.9","sungwonryu1","TLSv1.2"
"482","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"484","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"486","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"488","14.32.70.9","14.32.70.9","sungwonryu1","TLSv1.2"
"490","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"492","14.32.70.9","14.32.70.9","sungwonryu1","TLSv1.2"
"526","14.32.70.9","14.32.70.9","sungwonryu1","TLSv1.2"
"528","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"530","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"532","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"534","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"536","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"538","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"540","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"564","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"566","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"568","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"570","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"578","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"582","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"590","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"592","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"594","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"602","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"606","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"610","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"616","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"618","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"624","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"626","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"632","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"636","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"647","14.32.69.67","14.32.69.67","sungwonryu1","TCP"
"653","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"657","14.32.69.67","14.32.69.67","sungwonryu1","TLSv1.2"
"659","14.32.69.67","14.32.69.67","sungwonryu1","TCP"
"661","14.32.69.67","14.32.69.67","sungwonryu1","TCP"
"663","14.32.69.67","14.32.69.67","sungwonryu1","TCP"
"665","14.32.69.67","14.32.69.67","sungwonryu1","TLSv1.2"
"667","14.32.69.67","14.32.69.67","sungwonryu1","TCP"
"669","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"689","14.32.69.67","14.32.69.67","sungwonryu1","TLSv1.2"
"691","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"697","14.32.69.67","14.32.69.67","sungwonryu1","TCP"
"699","14.32.69.67","14.32.69.67","sungwonryu1","TCP"
"701","14.32.69.67","14.32.69.67","sungwonryu1","TLSv1.2"
"715","14.32.69.67","14.32.69.67","sungwonryu1","TLSv1.2"
"717","14.32.69.67","14.32.69.67","sungwonryu1","TCP"
"719","14.32.69.67","14.32.69.67","sungwonryu1","TCP"
"731","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"733","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"735","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"753","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"755","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"757","14.32.70.9","14.32.70.9","sungwonryu1","TCP"
"759","14.32.70.9","14.32.70.9","sungwonryu1","TLSv1.2"
