"No.","Host","Ip","dst","Protocol"
"1","14.32.69.34","14.32.69.34","sungwonryu1","TLSv1.2"
"3","14.32.69.34","14.32.69.34","sungwonryu1","TCP"
"9","14.32.70.7","14.32.70.7","sungwonryu1","TCP"
"11","14.32.69.34","14.32.69.34","sungwonryu1","TCP"
"15","14.32.70.7","14.32.70.7","sungwonryu1","TCP"
"17","14.32.70.7","14.32.70.7","sungwonryu1","TCP"
"19","14.32.70.7","14.32.70.7","sungwonryu1","TCP"
"27","14.32.70.7","14.32.70.7","sungwonryu1","TCP"
"31","14.32.70.7","14.32.70.7","sungwonryu1","TCP"
"45","14.32.70.7","14.32.70.7","sungwonryu1","TCP"
"47","14.32.70.7","14.32.70.7","sungwonryu1","TCP"
"49","14.32.70.7","14.32.70.7","sungwonryu1","TCP"
"51","14.32.70.7","14.32.70.7","sungwonryu1","TCP"
"53","14.32.70.7","14.32.70.7","sungwonryu1","TCP"
"83","14.32.70.7","14.32.70.7","sungwonryu1","TCP"
"87","14.32.70.7","14.32.70.7","sungwonryu1","TCP"
"89","14.32.69.34","14.32.69.34","sungwonryu1","TLSv1.2"
"91","14.32.69.34","14.32.69.34","sungwonryu1","TCP"
"99","14.32.69.34","14.32.69.34","sungwonryu1","TCP"
"128","14.32.69.67","14.32.69.67","sungwonryu1","TCP"
"134","14.32.69.67","14.32.69.67","sungwonryu1","TLSv1.2"
"136","14.32.69.67","14.32.69.67","sungwonryu1","TCP"
"138","14.32.69.67","14.32.69.67","sungwonryu1","TCP"
"140","14.32.69.67","14.32.69.67","sungwonryu1","TCP"
"142","14.32.69.67","14.32.69.67","sungwonryu1","TLSv1.2"
"158","14.32.69.67","14.32.69.67","sungwonryu1","TCP"
"160","14.32.69.67","14.32.69.67","sungwonryu1","TCP"
"166","14.32.69.67","14.32.69.67","sungwonryu1","TLSv1.2"
"168","14.32.69.67","14.32.69.67","sungwonryu1","TCP"
"172","14.32.69.67","14.32.69.67","sungwonryu1","TCP"
"174","14.32.69.67","14.32.69.67","sungwonryu1","TLSv1.2"
"186","14.32.69.67","14.32.69.67","sungwonryu1","TLSv1.2"
"190","14.32.69.67","14.32.69.67","sungwonryu1","TCP"
"195","14.32.69.67","14.32.69.67","sungwonryu1","TLSv1.2"
"197","14.32.69.67","14.32.69.67","sungwonryu1","TCP"
"199","14.32.69.67","14.32.69.67","sungwonryu1","TCP"
"215","14.32.69.34","14.32.69.34","sungwonryu1","TCP"
"217","14.32.69.34","14.32.69.34","sungwonryu1","TCP"
"227","14.32.69.34","14.32.69.34","sungwonryu1","TLSv1.2"
"229","14.32.69.34","14.32.69.34","sungwonryu1","TLSv1.2"
"231","14.32.69.34","14.32.69.34","sungwonryu1","TCP"
"233","14.32.69.34","14.32.69.34","sungwonryu1","TCP"
"235","14.32.69.34","14.32.69.34","sungwonryu1","TCP"
"237","14.32.69.34","14.32.69.34","sungwonryu1","TCP"
"239","14.32.69.34","14.32.69.34","sungwonryu1","TCP"
"241","14.32.69.34","14.32.69.34","sungwonryu1","TCP"
"255","14.32.69.34","14.32.69.34","sungwonryu1","TCP"
"257","14.32.69.34","14.32.69.34","sungwonryu1","TLSv1.2"
"259","14.32.69.34","14.32.69.34","sungwonryu1","TCP"
"261","14.32.69.34","14.32.69.34","sungwonryu1","TLSv1.2"
"279","14.32.69.34","14.32.69.34","sungwonryu1","TLSv1.2"
"281","14.32.69.34","14.32.69.34","sungwonryu1","TLSv1.2"
"287","14.32.69.34","14.32.69.34","sungwonryu1","TCP"
"289","14.32.69.34","14.32.69.34","sungwonryu1","TLSv1.2"
"293","14.32.69.34","14.32.69.34","sungwonryu1","TLSv1.2"
"295","14.32.69.34","14.32.69.34","sungwonryu1","TLSv1.2"
"313","14.32.69.34","14.32.69.34","sungwonryu1","TCP"
"315","14.32.69.34","14.32.69.34","sungwonryu1","TCP"
"325","14.32.69.34","14.32.69.34","sungwonryu1","TLSv1.2"
"327","14.32.69.34","14.32.69.34","sungwonryu1","TCP"
"333","14.32.69.34","14.32.69.34","sungwonryu1","TLSv1.2"
"335","14.32.69.34","14.32.69.34","sungwonryu1","TCP"
"337","14.32.69.34","14.32.69.34","sungwonryu1","TCP"
"339","14.32.69.34","14.32.69.34","sungwonryu1","TCP"
