"No.","Host","Ip","dst","Protocol"
"61","183.110.52.224","183.110.52.224","sungwonryu1","TLSv1.2"
"63","183.110.52.98","183.110.52.98","sungwonryu1","TLSv1.2"
"65","183.110.52.98","183.110.52.98","sungwonryu1","TLSv1.2"
"67","183.110.52.98","183.110.52.98","sungwonryu1","TLSv1.2"
"69","183.110.52.224","183.110.52.224","sungwonryu1","TLSv1.2"
"71","183.110.52.224","183.110.52.224","sungwonryu1","TLSv1.2"
"73","183.110.52.98","183.110.52.98","sungwonryu1","TCP"
"75","183.110.52.98","183.110.52.98","sungwonryu1","TCP"
"77","183.110.52.98","183.110.52.98","sungwonryu1","TCP"
"79","183.110.52.98","183.110.52.98","sungwonryu1","TLSv1.2"
"81","183.110.52.98","183.110.52.98","sungwonryu1","TLSv1.2"
"83","183.110.52.98","183.110.52.98","sungwonryu1","TCP"
"85","183.110.52.98","183.110.52.98","sungwonryu1","TLSv1.2"
"87","183.110.52.98","183.110.52.98","sungwonryu1","TLSv1.2"
"93","183.110.52.98","183.110.52.98","sungwonryu1","TLSv1.2"
"95","183.110.52.98","183.110.52.98","sungwonryu1","TCP"
"97","183.110.52.98","183.110.52.98","sungwonryu1","TCP"
"99","183.110.52.98","183.110.52.98","sungwonryu1","TLSv1.2"
"101","183.110.52.98","183.110.52.98","sungwonryu1","TCP"
"103","183.110.52.98","183.110.52.98","sungwonryu1","TCP"
"105","183.110.52.224","183.110.52.224","sungwonryu1","TLSv1.2"
"107","183.110.52.224","183.110.52.224","sungwonryu1","TLSv1.2"
"109","183.110.52.224","183.110.52.224","sungwonryu1","TLSv1.2"
"129","183.110.52.224","183.110.52.224","sungwonryu1","TLSv1.2"
"131","183.110.52.98","183.110.52.98","sungwonryu1","TLSv1.2"
"133","183.110.52.98","183.110.52.98","sungwonryu1","TLSv1.2"
"135","183.110.52.98","183.110.52.98","sungwonryu1","TLSv1.2"
"137","183.110.52.98","183.110.52.98","sungwonryu1","TLSv1.2"
"139","183.110.52.98","183.110.52.98","sungwonryu1","TCP"
"141","183.110.52.98","183.110.52.98","sungwonryu1","TCP"
"143","119.205.218.140","119.205.218.140","sungwonryu1","TLSv1.2"
"145","119.205.218.140","119.205.218.140","sungwonryu1","TLSv1.2"
"147","119.205.218.140","119.205.218.140","sungwonryu1","TLSv1.2"
"149","119.205.218.140","119.205.218.140","sungwonryu1","TLSv1.2"
"151","119.205.218.140","119.205.218.140","sungwonryu1","TLSv1.2"
"153","119.205.218.140","119.205.218.140","sungwonryu1","TLSv1.2"
"155","119.205.218.140","119.205.218.140","sungwonryu1","TLSv1.2"
"157","119.205.218.140","119.205.218.140","sungwonryu1","TLSv1.2"
"159","119.205.218.140","119.205.218.140","sungwonryu1","TLSv1.2"
"161","119.205.218.140","119.205.218.140","sungwonryu1","TLSv1.2"
"163","119.205.218.140","119.205.218.140","sungwonryu1","TLSv1.2"
"165","119.205.218.140","119.205.218.140","sungwonryu1","TLSv1.2"
"201","183.110.52.98","183.110.52.98","sungwonryu1","TLSv1.2"
"203","183.110.52.98","183.110.52.98","sungwonryu1","TLSv1.2"
"205","183.110.52.98","183.110.52.98","sungwonryu1","TLSv1.2"
"207","183.110.52.98","183.110.52.98","sungwonryu1","TLSv1.2"
"209","183.110.52.98","183.110.52.98","sungwonryu1","TLSv1.2"
"211","183.110.52.98","183.110.52.98","sungwonryu1","TLSv1.2"
"213","183.110.52.98","183.110.52.98","sungwonryu1","TLSv1.2"
"215","183.110.52.98","183.110.52.98","sungwonryu1","TLSv1.2"
"217","183.110.52.98","183.110.52.98","sungwonryu1","SSLv2"
"219","183.110.52.98","183.110.52.98","sungwonryu1","TCP"
"221","183.110.52.98","183.110.52.98","sungwonryu1","TCP"
"223","183.110.52.98","183.110.52.98","sungwonryu1","TCP"
"225","183.110.52.98","183.110.52.98","sungwonryu1","TLSv1.2"
