"No.","Host","Ip","dst","Protocol"
"9","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"46","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"48","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"50","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"52","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"54","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"56","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"58","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"60","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"62","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"65","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"67","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"69","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"71","ec2-52-40-102-135.us-west-2.compute.amazonaws.com","52.40.102.135","sungwonryu1","TCP"
"73","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"75","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"77","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"79","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"81","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"83","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"85","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"87","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"89","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"91","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"93","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"95","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"97","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"99","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"105","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"107","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"109","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"111","d1iskralo6mo11.cloudfront.net","13.227.74.86","sungwonryu1","TCP"
"185","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
"201","star.c10r.facebook.com","157.240.215.16","sungwonryu1","TCP"
