"No.","Host","Ip","dst","Protocol"
"3","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"5","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"7","183.110.52.97","183.110.52.97","sungwonryu1","TLSv1.2"
"19","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"21","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"23","183.110.52.97","183.110.52.97","sungwonryu1","TLSv1.2"
"27","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"29","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"31","183.110.52.97","183.110.52.97","sungwonryu1","TLSv1.2"
"33","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"35","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"37","183.110.52.97","183.110.52.97","sungwonryu1","TLSv1.2"
"39","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"41","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"47","183.110.52.97","183.110.52.97","sungwonryu1","TLSv1.2"
"49","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"51","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"53","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"55","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"57","183.110.52.97","183.110.52.97","sungwonryu1","TLSv1.2"
"81","183.110.52.97","183.110.52.97","sungwonryu1","TLSv1.2"
"83","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"89","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"91","183.110.52.97","183.110.52.97","sungwonryu1","TLSv1.2"
"93","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"95","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"97","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"99","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"101","183.110.52.97","183.110.52.97","sungwonryu1","TLSv1.2"
"103","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"105","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"127","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"129","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"131","183.110.52.97","183.110.52.97","sungwonryu1","TLSv1.2"
"133","183.110.52.97","183.110.52.97","sungwonryu1","TLSv1.2"
"141","183.110.52.97","183.110.52.97","sungwonryu1","TLSv1.2"
"145","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"149","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"161","183.110.52.97","183.110.52.97","sungwonryu1","TLSv1.2"
"163","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"167","183.110.52.97","183.110.52.97","sungwonryu1","TLSv1.2"
"175","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"177","183.110.52.97","183.110.52.97","sungwonryu1","TCP"
"179","183.110.52.97","183.110.52.97","sungwonryu1","TLSv1.2"
